M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
59	100	61	67	62	62	69	96	48	55	79	58	79	58	60	62	21	58	61	56
37	106	44	63	61	63	64	95	48	52	86	75	62	53	62	63	46	64	60	52
61	106	59	64	62	67	70	91	45	55	84	76	62	32	64	63	46	64	63	56
65	111	61	42	59	62	66	97	45	54	85	75	73	55	58	68	53	63	47	55
57	107	28	62	57	62	69	93	47	56	79	72	61	54	59	64	46	47	54	51
59	103	55	69	65	66	71	86	49	51	85	75	69	57	35	68	45	60	55	55
54	105	57	60	58	60	65	98	42	53	85	65	78	62	51	64	62	33	57	56
59	107	58	69	66	65	68	92	37	52	82	57	69	54	61	40	46	61	52	56
58	105	60	53	63	63	69	87	48	55	83	75	77	58	63	64	45	60	61	28
60	106	56	72	66	60	71	67	39	55	82	69	77	59	59	63	44	55	53	52
54	106	45	61	60	49	65	91	42	54	81	46	67	52	52	63	46	54	45	46
55	105	56	67	62	61	65	91	48	31	84	73	64	48	60	66	46	62	47	50
60	108	58	62	60	62	67	93	43	56	59	71	70	56	59	59	43	52	51	51
57	108	63	65	64	64	66	91	47	58	79	70	65	60	61	59	21	60	59	46
57	106	58	59	56	63	69	88	46	31	82	71	59	48	49	66	58	57	56	47
54	107	51	66	60	58	72	92	41	58	80	64	75	53	56	40	40	62	53	51
57	98	59	68	62	64	69	93	46	31	84	75	74	48	62	63	47	60	49	54
58	103	57	60	66	61	70	87	41	50	81	71	72	32	55	58	43	54	54	50
59	95	63	69	64	62	73	95	46	47	82	71	82	60	59	69	49	33	54	57
62	79	61	67	64	64	72	92	46	55	86	73	77	58	58	64	45	60	54	54
37	101	59	66	63	56	70	81	44	53	81	73	78	59	55	62	47	60	47	51
61	107	60	70	63	58	73	87	46	54	59	77	78	59	64	57	47	59	61	53
