M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
29	28	49	33	33	51	14	45	31	37	40	42	37	25	46	45	37	37	38	30	39	45	48	45
45	28	48	34	33	35	14	45	31	41	33	46	36	24	47	44	35	43	39	30	39	45	49	45
35	30	49	34	31	37	27	44	35	35	34	37	37	23	45	45	42	32	37	29	58	42	48	45
29	28	45	30	30	33	27	41	31	32	28	37	32	24	47	43	37	47	37	32	38	44	41	44
23	30	49	31	30	37	26	41	31	36	35	44	42	24	48	42	38	46	37	30	38	42	48	42
28	31	51	30	31	36	27	56	29	35	35	42	37	25	48	45	36	37	25	32	40	41	52	48
27	20	49	33	33	36	27	44	30	37	34	40	47	26	46	46	37	38	38	33	42	43	47	44
29	30	38	33	31	47	27	44	29	37	34	40	40	24	48	44	38	39	38	32	40	42	49	44
30	27	52	28	28	29	31	43	37	31	36	48	38	28	48	53	37	46	45	30	34	44	53	46
29	31	49	33	31	51	28	46	30	36	34	43	38	23	46	47	36	36	25	32	39	41	46	43
31	31	48	34	33	37	30	44	32	37	36	43	38	25	47	54	38	32	40	33	56	49	46	43
31	27	51	21	37	40	28	46	31	41	47	35	38	24	43	43	38	39	38	33	37	41	48	44
44	29	50	31	30	36	28	41	32	37	35	39	37	25	44	47	34	37	40	30	37	42	47	47
30	28	50	37	33	36	29	43	31	25	39	41	36	25	46	46	38	37	39	40	42	47	48	44
30	29	48	31	30	37	27	43	42	37	35	42	40	24	35	47	35	37	37	31	38	41	50	42
27	30	47	34	32	35	14	44	30	37	34	40	52	25	48	43	37	39	39	33	39	42	45	44
30	34	51	36	30	35	32	41	35	34	42	36	26	24	48	47	36	35	38	29	48	41	56	51
30	29	49	33	30	37	25	42	31	38	31	43	26	24	47	45	38	40	42	29	36	42	45	48
29	29	49	33	32	37	27	49	30	37	29	42	37	17	47	42	37	39	38	30	59	42	50	44
31	30	38	30	30	38	28	41	30	45	35	41	46	25	47	45	38	34	38	30	38	41	49	42
29	28	52	41	32	38	27	40	30	32	37	36	32	25	48	47	37	39	42	34	38	32	45	43
37	33	54	38	39	36	27	42	23	35	35	41	37	30	47	45	42	39	38	37	41	50	60	50
29	30	49	34	34	36	27	44	40	37	34	41	36	17	44	47	37	36	39	32	39	44	48	42
31	41	49	34	35	37	28	41	35	47	34	41	36	24	47	32	38	48	37	31	47	41	46	50
23	30	50	33	31	38	24	43	31	37	34	41	38	26	48	45	41	36	41	31	40	42	52	44
31	30	52	33	31	36	24	46	31	37	34	49	35	25	48	54	38	42	38	29	55	44	55	35
28	31	52	33	32	39	28	32	31	37	37	44	37	37	52	44	38	39	39	35	40	43	49	50
30	29	49	30	30	35	30	41	30	37	37	42	40	28	49	42	35	38	25	30	59	41	47	50
29	32	46	30	32	48	27	43	30	35	34	42	36	25	48	42	35	36	37	33	37	47	52	45
29	26	58	35	33	36	14	44	30	37	36	41	38	30	47	45	36	38	39	32	40	43	52	44
28	26	54	33	31	38	27	44	29	37	34	50	37	25	46	44	29	38	38	31	38	39	49	42
44	31	50	34	30	35	27	44	30	37	35	41	37	24	48	42	38	37	39	31	37	42	46	43
29	31	50	32	30	38	27	41	29	37	34	42	44	32	48	43	29	37	42	31	40	44	46	42
36	34	59	33	37	42	31	49	36	25	34	47	48	30	52	56	43	46	45	38	46	48	54	50
29	29	48	34	32	25	27	44	29	37	35	42	37	25	48	42	38	38	38	30	58	39	50	42
29	30	52	33	32	49	28	43	31	25	39	40	37	25	47	45	37	38	39	32	37	43	48	42
