M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
32	29	48	30	32	34	28	47	32	34	35	38	35	26	47	55	35	38	51	34	36	54	55	45
35	28	50	31	26	36	25	55	33	34	33	52	37	24	44	39	34	37	38	30	51	39	47	41
22	29	47	39	32	34	24	38	32	40	34	47	46	25	45	46	34	36	45	30	46	38	47	47
32	41	56	30	35	34	32	46	25	36	35	37	36	26	45	46	39	37	38	32	50	40	55	41
36	28	56	31	32	34	27	40	31	36	35	38	36	25	45	46	34	31	39	40	43	40	54	44
37	33	51	28	29	33	28	47	32	35	33	39	38	26	46	47	30	36	39	31	49	39	48	41
30	29	51	28	32	43	26	44	32	34	34	37	37	24	46	47	33	36	38	22	50	41	49	39
44	28	50	30	32	36	27	44	33	37	36	38	40	30	44	43	35	38	48	22	48	40	49	41
35	28	57	28	33	46	25	44	35	36	35	58	35	24	47	41	33	35	23	29	48	41	48	41
35	31	48	28	38	42	27	44	31	35	35	38	38	24	45	42	33	38	23	30	49	41	48	40
31	29	48	30	33	34	28	38	32	35	35	37	36	26	47	41	36	31	39	40	50	39	55	41
31	41	50	31	40	35	27	46	25	37	37	39	42	27	53	42	35	37	42	32	50	41	51	41
45	29	61	28	36	36	15	42	31	37	41	40	37	26	45	43	33	33	40	33	52	39	47	37
32	29	48	28	30	32	25	40	31	34	33	35	34	24	57	42	35	35	37	22	50	38	47	43
33	28	36	30	30	35	29	46	36	36	40	48	40	27	46	44	35	37	38	46	50	41	50	41
22	28	52	28	46	32	23	37	34	33	33	37	42	24	54	41	32	35	37	26	51	39	55	51
30	28	49	28	33	34	26	40	42	33	34	37	36	24	45	41	35	36	38	22	50	38	53	50
35	28	76	30	34	41	27	46	31	24	37	40	37	25	46	42	36	37	40	33	52	41	51	41
29	29	48	32	32	40	25	45	30	36	37	38	36	25	44	41	30	36	40	29	49	50	48	45
34	27	48	28	32	34	27	38	32	24	37	40	48	23	47	42	33	36	42	29	52	41	47	39
30	27	47	28	36	32	25	39	32	33	44	37	39	25	44	29	33	44	54	30	50	38	47	39
31	28	50	30	34	35	35	43	32	34	36	39	37	26	46	43	35	31	38	33	52	41	51	41
22	29	57	30	33	36	28	46	45	38	39	39	39	26	46	47	35	39	40	32	47	40	49	41
33	28	49	28	34	33	26	41	33	46	35	39	36	25	46	40	30	35	38	30	43	38	50	41
30	29	48	28	30	35	32	39	32	35	34	38	35	27	46	55	34	46	37	30	47	39	41	42
37	29	46	28	30	35	15	42	29	43	35	40	40	34	53	39	32	42	60	32	49	36	46	49
