M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
28	28	51	20	36	51	38	26	48	31	24	51	42	36	39	29	53	45	48	39
44	28	49	20	35	49	34	27	43	31	27	47	42	34	45	32	46	42	50	40
34	33	54	30	32	43	34	27	43	32	25	37	41	34	35	30	48	39	55	39
35	28	48	28	31	42	33	25	41	32	24	44	46	40	35	31	52	40	38	39
34	27	53	31	29	51	34	18	47	30	24	46	43	34	38	31	45	45	52	46
35	31	52	30	35	48	34	26	45	38	32	46	44	25	39	42	55	42	55	45
33	28	48	29	32	44	33	27	49	39	24	47	46	33	35	36	68	48	55	32
33	28	52	27	26	43	34	26	44	45	25	44	44	34	37	30	52	39	54	43
31	28	55	36	35	46	35	24	45	29	31	44	52	34	36	22	43	39	48	49
42	29	51	20	32	40	35	25	46	32	27	47	45	33	35	32	52	38	48	41
30	29	51	29	33	47	32	18	40	31	25	54	40	33	35	30	43	39	49	46
43	28	58	30	45	47	36	29	47	33	28	45	44	25	38	33	49	42	49	41
32	34	51	30	41	48	36	28	46	32	32	45	51	47	44	36	57	40	51	32
34	32	52	28	33	47	32	25	40	30	23	46	41	32	34	31	40	39	59	39
33	29	61	36	33	47	42	28	44	32	18	45	41	35	42	32	45	41	51	42
33	30	52	29	26	45	35	35	43	32	25	46	41	33	35	29	49	39	55	40
33	28	49	37	34	51	34	26	31	31	25	46	43	40	39	31	50	40	67	39
36	28	52	20	34	41	35	30	46	45	26	45	46	34	38	32	47	40	48	42
35	29	60	31	38	37	35	26	47	31	28	51	42	35	36	31	50	46	47	40
31	28	52	30	33	49	23	26	47	34	26	46	53	35	37	37	51	40	50	45
31	33	36	30	30	47	36	24	50	34	30	46	54	35	45	31	50	38	59	42
35	27	51	31	31	46	34	18	40	31	26	45	46	34	35	29	48	39	58	47
