M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
64	84	67	89	75	62	83	72	64	56	71	56	60	67	71	69	62	65	59	76
63	84	71	89	75	60	75	70	63	65	73	48	57	67	71	70	69	63	58	76
58	84	71	89	75	61	74	73	63	72	73	56	60	68	71	69	69	70	59	69
56	77	71	87	75	59	76	70	64	56	69	48	60	67	66	69	72	72	59	76
56	84	71	90	76	59	83	73	66	56	73	56	60	68	66	68	70	72	59	76
62	83	71	89	77	62	75	70	63	66	72	56	59	66	71	68	69	69	57	69
64	84	71	89	75	59	83	70	52	75	71	56	55	67	66	68	70	69	59	76
59	84	71	89	75	62	76	73	62	72	69	54	57	67	71	69	72	72	59	76
64	84	71	90	75	57	81	70	66	73	68	51	60	71	70	69	64	63	59	74
62	76	71	90	75	60	83	70	63	66	66	56	60	67	71	72	65	72	57	76
64	84	66	87	80	62	83	70	64	66	65	56	58	67	71	70	62	72	57	76
63	88	71	82	75	62	83	70	63	66	69	56	60	58	66	66	65	70	57	76
63	84	71	89	75	62	77	70	64	63	66	48	52	66	67	69	64	72	59	76
64	84	71	89	80	59	83	73	63	63	66	54	60	68	66	69	70	69	57	70
64	88	71	89	80	62	83	70	63	66	71	56	62	67	71	70	68	69	59	76
63	84	71	90	75	63	83	72	63	66	71	56	60	66	66	69	68	60	59	76
64	84	71	89	75	57	84	88	69	65	69	54	60	67	71	71	65	72	59	76
56	84	71	89	75	59	80	69	67	63	71	56	60	67	71	61	68	69	57	76
56	84	70	87	75	62	73	70	63	66	69	48	60	67	71	69	71	70	59	76
58	79	71	89	75	59	75	71	66	75	73	51	52	68	66	63	71	72	58	76
64	81	71	90	75	62	75	73	63	66	71	48	61	67	71	69	69	69	57	73
64	84	68	87	79	59	83	73	63	66	69	54	60	68	70	67	68	60	58	76
