M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
6	4	3	2	2	3	6	3	3	4	6	2	4	3	3	1	5	4	3	3
6	4	4	2	3	2	3	2	4	1	6	3	3	3	3	4	5	5	3	3
3	4	7	2	3	3	4	2	4	4	7	2	4	3	1	4	4	8	3	6
3	4	4	3	2	3	4	2	0	4	6	3	9	3	3	4	5	5	3	2
3	4	4	2	3	8	3	3	3	4	6	3	3	6	3	4	4	1	3	3
3	1	4	6	3	8	4	6	4	4	6	2	4	3	3	4	5	4	3	2
6	4	4	6	3	3	1	2	3	4	7	2	3	3	3	3	4	5	3	3
3	4	7	6	0	3	3	5	4	7	7	5	4	3	3	8	10	5	3	2
3	7	7	6	2	8	4	2	7	8	6	2	8	3	6	4	5	1	6	3
3	4	4	2	2	3	4	3	4	4	1	2	4	3	3	3	5	5	6	6
3	4	4	2	2	3	3	2	4	4	6	3	9	3	3	3	5	5	1	3
3	4	4	6	3	8	1	2	4	8	8	2	4	4	6	4	4	5	3	3
3	4	7	3	3	8	1	2	4	7	7	2	8	6	3	4	5	5	3	3
3	4	4	3	3	1	6	2	4	4	6	6	3	3	3	8	5	5	3	3
3	4	4	2	6	3	6	2	8	4	7	2	8	1	6	3	10	4	6	3
3	4	7	0	3	2	3	2	4	4	6	3	4	3	3	4	10	4	3	3
6	7	4	3	0	3	6	2	3	5	6	3	4	4	3	3	5	4	3	2
3	7	4	3	5	8	1	2	4	8	8	5	3	3	6	8	4	7	6	6
3	1	4	3	3	3	3	2	4	4	6	2	8	3	3	8	10	5	6	3
3	4	4	2	2	2	4	0	4	4	6	2	9	3	3	4	5	5	6	3
6	7	7	3	3	3	6	2	4	1	6	6	3	3	3	3	5	8	3	3
1	7	4	3	6	8	3	2	3	4	8	5	3	3	3	4	5	5	3	3
