Measure	Mantel_r	p_value
SVD	0.210830108357852	9.99900009999e-05
JD_r	0.717171009097721	9.99900009999e-05
JD_m	0.678196025413074	9.99900009999e-05
n_DE	0.0543642031775568	0.0523947605239476
JD_DE	0.684485674082695	9.99900009999e-05
JD_EC	0.581647182699198	9.99900009999e-05
c_EC	0.577401754440233	9.99900009999e-05
c_CF	0.281388990590193	9.99900009999e-05
