MNXref	KEGG	BiGG	MetaCyc	ModelSEED	Rhea	EC
MNXR94749		2AGPA181tipp|R_2AGPA181tipp		rxn07938		
MNXR94750		2AGPE120tipp|R_2AGPE120tipp				
MNXR94751		2AGPE140tipp|R_2AGPE140tipp				
MNXR94752		2AGPE141tipp|R_2AGPE141tipp				
MNXR94753		2AGPE160tipp|R_2AGPE160tipp		rxn07942		
MNXR94754		2AGPE161tipp|R_2AGPE161tipp				
MNXR94755		2AGPE180tipp|R_2AGPE180tipp		rxn07944		
MNXR94756		2AGPE181tipp|R_2AGPE181tipp				
MNXR94757		2AGPEAT120|R_2AGPEAT120				
MNXR94758		2AGPEAT140|R_2AGPEAT140				
MNXR94759		2AGPEAT141|R_2AGPEAT141				
MNXR94760		2AGPEAT160|R_2AGPEAT160		rxn07949		2.3.1.40
MNXR94761		2AGPEAT161|R_2AGPEAT161				
MNXR94762		2AGPEAT180|R_2AGPEAT180		rxn07951		2.3.1.40
MNXR94763		2AGPEAT181|R_2AGPEAT181				
MNXR94764		2AGPG120tipp|R_2AGPG120tipp				
MNXR94765		2AGPG140tipp|R_2AGPG140tipp				
MNXR94766		2AGPG141tipp|R_2AGPG141tipp				
MNXR94767		2AGPG160tipp|R_2AGPG160tipp				
MNXR94768		2AGPG161tipp|R_2AGPG161tipp				
MNXR94769		2AGPG180tipp|R_2AGPG180tipp				
MNXR94770		2AGPG181tipp|R_2AGPG181tipp				
MNXR94771		2AGPGAT120|R_2AGPGAT120				
MNXR94772		2AGPGAT140|R_2AGPGAT140				
MNXR94773		2AGPGAT141|R_2AGPGAT141				
MNXR94774		2AGPGAT160|R_2AGPGAT160				
MNXR94775		2AGPGAT161|R_2AGPGAT161				
MNXR94776		2AGPGAT180|R_2AGPGAT180				
MNXR94777		2AGPGAT181|R_2AGPGAT181				
MNXR94778	R08698	2AMACHYD|R_2AMACHYD	RXN-8899	rxn14245	40071|40072|40073|40074	4.3.1.17
MNXR94779		2AMACSULT|R_2AMACSULT				
MNXR94780		2AMADPTm|R_2AMADPTm				
MNXR94781		2AOBUTtm|R_2AOBUTtm				
MNXR94782		2DDA7Ptm|R_2DDA7Ptm		rxn09807		
MNXR94783		2DGLCNRx|R_2DGLCNRx		rxn07967	27910|27911|27912|27913	
MNXR94784	R01739	2DGLCNRy|R_2DGLCNRy	1.1.1.215-RXN	rxn01277|rxn14160	16653|16654|16655|16656	1.1.1.215
MNXR94785		2DGULRGx|R_2DGULRGx				
MNXR94786		2DGULRGy|R_2DGULRGy				
MNXR94787		2DGULRx|R_2DGULRx		rxn07969		
MNXR94788		2DGULRy|R_2DGULRy		rxn07970		
MNXR94789	R02658	2DHGLCK|R_2DHGLCK	DEHYDOGLUCONOKINASE-RXN	rxn01921|rxn14220	10788|10789|10790|10791	2.7.1.13
MNXR94790		2DHGLCNkt_tpp|R_2DHGLCNkt_tpp		rxn12783		
MNXR94791		2DHGLCNtex|R_2DHGLCNtex		rxn12784|rxn13791		
MNXR94792	R01216	2DHPFALDL|R_2DHPFALDL	KETOPANTOALDOLASE-RXN	rxn00905	23276|23277|23278|23279	2.1.2.11;4.1.2.12
MNXR94793		2DHPtm|R_2DHPtm|2DHPtn|R_2DHPtn		rxn09806		
MNXR94794	R02587	2DOXG6PP|R_2DOXG6PP	3.1.3.68-RXN	rxn01883	22236|22237|22238|22239	3.1.3.68
MNXR94795						
MNXR94798		2HCO3_NAt|R_2HCO3_NAt				
MNXR94799		2HH24DDH|R_2HH24DDH				
MNXR94800		2HMHMBQMTm|R_2HMHMBQMTm				
MNXR94801		2HP6MPMOm|R_2HP6MPMOm				
MNXR94802		2HPMBQMTm|R_2HPMBQMTm				
MNXR94803		2HPMMBQMOm|R_2HPMMBQMOm				
MNXR94804		2HXMPt6|R_2HXMPt6		rxn05472		
MNXR94806		2MAHMP|R_2MAHMP	RXN0-3543	rxn07971	27914|27915|27916|27917	3.6.1
MNXR94807		2MB2COAc|R_2MB2COAc				
MNXR94808		2MBACt|R_2MBACt		rxn13188		
MNXR94809		2MBALDt|R_2MBALDt|2MBALDtm|R_2MBALDtm		rxn13189|rxn13190		
MNXR94810		2MBTOHt|R_2MBTOHt|2MBTOHtm|R_2MBTOHtm		rxn13191|rxn13192		
MNXR94811						
MNXR94812		2MPPALt|R_2MPPALt|2MPPALtm|R_2MPPALtm		rxn13193|rxn13194		
MNXR94813		2OBUTt2ipp|R_2OBUTt2ipp|r1155|R_r1155		rxn12522		
MNXR94814		2OBUTtex|R_2OBUTtex|2OBUTtm|R_2OBUTtm	TRANS-RXN0-558	rxn13195		
MNXR94815	R07394	2OH3K5MPPISO|R_2OH3K5MPPISO|ACRSP|R_ACRSP	R83-RXN	rxn05106|rxn11033	14481|14482|14483|14484	3.1.3.77;3.1.3.87
MNXR94816		2OHPH_5tn|R_2OHPH_5tn		rxn09830		
MNXR94817		2OMPH_5tm|R_2OMPH_5tm|2OMPH_5tn|R_2OMPH_5tn		rxn09804|rxn09829		
MNXR94818	R01933	2OXOADOXm|R_2OXOADOXm	2-KETO-ADIPATE-DEHYDROG-RXN	rxn01418	30795|30796|30797|30798	1.2.1.52;1.2.4.2;1.8.1.4;2.3.1.61
MNXR94819		2OXOADPTm|R_2OXOADPTm				
