MNXref	KEGG	BiGG	MetaCyc	ModelSEED	Rhea	EC
MNXR105647		r1715|R_r1715				
MNXR105648		r1716|R_r1716				
MNXR105649		r1717|R_r1717				
MNXR105650		r1720|R_r1720				
MNXR105651		r1721|R_r1721				
MNXR105652		r1722|R_r1722				
MNXR105653		r1723|R_r1723				
MNXR105654		r1725|R_r1725				
MNXR105655		r1726|R_r1726				
MNXR105656		r1728|R_r1728				
MNXR105657		r1730|R_r1730				
MNXR105658		r1731|R_r1731				
MNXR105659		r1732|R_r1732				
MNXR105660		r1733|R_r1733				
MNXR105661		r1734|R_r1734				
MNXR105662		r1735|R_r1735				
MNXR105663		r1736|R_r1736				
MNXR105664		r1737|R_r1737				
MNXR105665		r1738|R_r1738				
MNXR105666		r1739|R_r1739				
MNXR105667		r1740|R_r1740				
MNXR105668		r1741|R_r1741				
MNXR105669		r1742|R_r1742				
MNXR105670		r1743|R_r1743				
MNXR105671		r1744|R_r1744				
MNXR105672		r1745|R_r1745				
MNXR105673		r1746|R_r1746				
MNXR105674		r1747|R_r1747				
MNXR105675		r1748|R_r1748				
MNXR105676		r1749|R_r1749				
MNXR105677		r1750|R_r1750				
MNXR105678		r1751|R_r1751				
MNXR105679		r1752|R_r1752				
MNXR105680		r1753|R_r1753				
MNXR105681		r1754|R_r1754				
MNXR105682		r1755|R_r1755				
MNXR105683		r1756|R_r1756				
MNXR105684		r1757|R_r1757				
MNXR105685		r1758|R_r1758				
MNXR105686		r1759|R_r1759				
MNXR105687		r1760|R_r1760				
MNXR105688		r1761|R_r1761				
MNXR105689		r1762|R_r1762				
MNXR105690		r1763|R_r1763				
MNXR105691		r1764|R_r1764				
MNXR105692		r1765|R_r1765				
MNXR105693		r1766|R_r1766				
MNXR105694		r1767|R_r1767				
MNXR105695		r1768|R_r1768				
MNXR105696		r1769|R_r1769				
MNXR105697		r1770|R_r1770				
MNXR105698		r1771|R_r1771				
MNXR105699		r1772|R_r1772				
MNXR105700		r1773|R_r1773				
MNXR105701		r1774|R_r1774				
MNXR105702		r1775|R_r1775				
MNXR105703		r1776|R_r1776				
MNXR105704		r1777|R_r1777				
MNXR105705		r1778|R_r1778				
MNXR105706		r1779|R_r1779				
MNXR105707		r1780|R_r1780				
MNXR105708		r1781|R_r1781				
MNXR105709		r1782|R_r1782				
MNXR105710		r1783|R_r1783				
MNXR105711		r1784|R_r1784				
MNXR105712		r1785|R_r1785				
MNXR105713		r1786|R_r1786				
MNXR105714		r1787|R_r1787				
MNXR105715		r1788|R_r1788				
MNXR105716		r1789|R_r1789				
MNXR105717		r1790|R_r1790				
MNXR105718		r1791|R_r1791				
MNXR105719		r1792|R_r1792				
MNXR105720		r1796|R_r1796				
MNXR105721		r1797|R_r1797				
MNXR105722		r1798|R_r1798				
MNXR105723		r1799|R_r1799				
MNXR105724		r1800|R_r1800				
MNXR105725		r1801|R_r1801				
MNXR105726		r1803|R_r1803				
MNXR105727		r1805|R_r1805				
MNXR105728		r1806|R_r1806				
MNXR105729		r1807|R_r1807				
MNXR105730		r1808|R_r1808				
MNXR105731		r1809|R_r1809				
MNXR105732		r1810|R_r1810				
MNXR105733		r1811|R_r1811				
MNXR105734		r1812|R_r1812				
MNXR105735		r1813|R_r1813				
MNXR105736		r1814|R_r1814				
MNXR105737		r1815|R_r1815				
MNXR105738		r1816|R_r1816				
MNXR105739		r1817|R_r1817				
MNXR105740		r1818|R_r1818				
MNXR105741		r1819|R_r1819				
MNXR105742		r1820|R_r1820				
MNXR105743		r1821|R_r1821				
MNXR105744		r1822|R_r1822				
MNXR105745		r1823|R_r1823				
MNXR105746		r1824|R_r1824				
MNXR105747		r1825|R_r1825				
MNXR105748		r1826|R_r1826				
MNXR105749		r1827|R_r1827				
MNXR105750		r1828|R_r1828				
MNXR105751		r1829|R_r1829				
MNXR105752		r1830|R_r1830				
MNXR105753		r1831|R_r1831				
MNXR105754		r1832|R_r1832				
MNXR105755		r1833|R_r1833				
MNXR105756		r1834|R_r1834				
MNXR105757		r1835|R_r1835				
MNXR105758		r1836|R_r1836				
MNXR105759		r1837|R_r1837				
MNXR105760		r1841|R_r1841				
MNXR105761		r1842|R_r1842				
MNXR105762		r1843|R_r1843				
MNXR105763		r1844|R_r1844				
MNXR105764		r1846|R_r1846				
MNXR105765		r1847|R_r1847				
MNXR105766		r1848|R_r1848				
MNXR105767		r1850|R_r1850				
MNXR105768		r1851|R_r1851				
MNXR105769		r1852|R_r1852				
MNXR105770		r1853|R_r1853				
MNXR105771		r1854|R_r1854				
MNXR105772		r1855|R_r1855				
MNXR105773		r1856|R_r1856				
MNXR105774		r1857|R_r1857				
MNXR105775		r1858|R_r1858				
MNXR105776		r1859|R_r1859				
MNXR105777		r1860|R_r1860				
MNXR105778		r1861|R_r1861				
MNXR105779		r1862|R_r1862				
MNXR105780		r1863|R_r1863				
MNXR105781		r1864|R_r1864				
MNXR105782		r1865|R_r1865				
MNXR105783		r1866|R_r1866				
MNXR105784		r1867|R_r1867				
MNXR105785		r1871|R_r1871				
MNXR105786		r1872|R_r1872				
MNXR105787		r1873|R_r1873				
MNXR105788		r1874|R_r1874				
MNXR105789		r1876|R_r1876				
MNXR105790		r1877|R_r1877				
MNXR105791		r1879|R_r1879				
MNXR105792		r1880|R_r1880				
MNXR105793		r1881|R_r1881				
MNXR105794		r1882|R_r1882				
MNXR105795		r1883|R_r1883				
MNXR105796		r1884|R_r1884				
MNXR105797		r1885|R_r1885				
MNXR105798		r1886|R_r1886				
MNXR105799		r1887|R_r1887				
MNXR105800		r1888|R_r1888				
MNXR105801		r1889|R_r1889				
MNXR105802		r1890|R_r1890				
MNXR105803		r1891|R_r1891				
MNXR105804		r1892|R_r1892				
MNXR105805		r1893|R_r1893				
MNXR105806		r1894|R_r1894				
MNXR105807		r1895|R_r1895				
MNXR105808		r1896|R_r1896				
MNXR105809		r1897|R_r1897				
MNXR105810		r1898|R_r1898				
MNXR105811		r1899|R_r1899				
MNXR105812		r1900|R_r1900				
MNXR105813		r1901|R_r1901				
MNXR105814		r1902|R_r1902				
MNXR105815		r1903|R_r1903				
MNXR105816		r1904|R_r1904				
MNXR105817		r1905|R_r1905				
MNXR105818		r1906|R_r1906				
MNXR105819		r1907|R_r1907				
MNXR105820		r1908|R_r1908				
MNXR105821		r1909|R_r1909				
MNXR105822		r1910|R_r1910				
MNXR105823		r1911|R_r1911				
MNXR105824		r1912|R_r1912				
MNXR105825		r1913|R_r1913				
MNXR105826		r1914|R_r1914				
MNXR105827		r1915|R_r1915				
MNXR105828		r1916|R_r1916				
MNXR105829		r1917|R_r1917				
MNXR105830		r1918|R_r1918				
MNXR105831		r1919|R_r1919				
MNXR105832		r1920|R_r1920				
MNXR105833		r1921|R_r1921				
MNXR105834		r1922|R_r1922				
MNXR105835		r1923|R_r1923				
MNXR105836		r1924|R_r1924				
MNXR105837		r1925|R_r1925				
MNXR105838		r1926|R_r1926				
MNXR105839		r1928|R_r1928				
MNXR105840		r1929|R_r1929				
MNXR105841		r1930|R_r1930				
MNXR105842		r1931|R_r1931				
MNXR105843		r1932|R_r1932				
MNXR105844		r1933|R_r1933				
MNXR105845		r1934|R_r1934				
MNXR105846		r1935|R_r1935				
MNXR105847		r1936|R_r1936				
MNXR105848		r1937|R_r1937				
MNXR105849		r1938|R_r1938				
MNXR105850		r1939|R_r1939				
MNXR105851		r1940|R_r1940				
MNXR105852		r1941|R_r1941				
MNXR105853		r1942|R_r1942				
MNXR105854		r1943|R_r1943				
MNXR105855		r1944|R_r1944				
MNXR105856		r1945|R_r1945				
MNXR105857		r1946|R_r1946				
MNXR105858		r1947|R_r1947				
MNXR105859		r1948|R_r1948				
MNXR105860		r1949|R_r1949				
MNXR105861		r1950|R_r1950				
MNXR105862		r1951|R_r1951				
MNXR105863		r1952|R_r1952				
MNXR105864		r1953|R_r1953				
MNXR105865		r1954|R_r1954				
MNXR105866		r1955|R_r1955				
MNXR105867		r1956|R_r1956				
MNXR105868		r1957|R_r1957				
MNXR105869		r1958|R_r1958				
MNXR105870		r1959|R_r1959				
MNXR105871		r1960|R_r1960				
MNXR105872		r1961|R_r1961				
MNXR105873		r1962|R_r1962				
MNXR105874		r1963|R_r1963				
MNXR105875		r1964|R_r1964				
MNXR105876		r1965|R_r1965				
MNXR105877		r1966|R_r1966				
MNXR105878		r1967|R_r1967				
MNXR105879		r1968|R_r1968				
MNXR105880		r1969|R_r1969				
MNXR105881		r1970|R_r1970				
MNXR105882		r1971|R_r1971				
MNXR105883		r1972|R_r1972				
MNXR105884		r1973|R_r1973				
MNXR105885		r1974|R_r1974				
MNXR105886		r1975|R_r1975				
MNXR105887		r1976|R_r1976				
MNXR105888		r1977|R_r1977				
MNXR105889		r1978|R_r1978				
MNXR105890		r1979|R_r1979				
MNXR105891		r1980|R_r1980				
MNXR105892		r1981|R_r1981				
MNXR105893		r1982|R_r1982				
MNXR105894		r1983|R_r1983				
MNXR105895		r1984|R_r1984				
MNXR105896		r1985|R_r1985				
MNXR105897		r1986|R_r1986				
MNXR105898		r1987|R_r1987				
MNXR105899		r1988|R_r1988				
MNXR105900		r1989|R_r1989				
MNXR105901		r1990|R_r1990				
MNXR105902		r1991|R_r1991				
MNXR105903		r1992|R_r1992				
MNXR105904		r1993|R_r1993				
MNXR105905		r1994|R_r1994				
MNXR105906		r1995|R_r1995				
MNXR105907		r1996|R_r1996				
MNXR105908		r1997|R_r1997				
MNXR105909		r1998|R_r1998				
MNXR105910		r1999|R_r1999				
MNXR105911		r2000|R_r2000				
MNXR105912		r2001|R_r2001				
MNXR105913		r2002|R_r2002				
MNXR105914		r2003|R_r2003				
MNXR105915		r2004|R_r2004				
MNXR105916		r2005|R_r2005				
MNXR105917		r2006|R_r2006				
MNXR105918		r2007|R_r2007				
MNXR105919		r2008|R_r2008				
MNXR105920		r2009|R_r2009				
MNXR105921		r2010|R_r2010	TRANS-RXN66-1231			
MNXR105922		r2011|R_r2011				
MNXR105923		r2012|R_r2012				
MNXR105924		r2013|R_r2013				
MNXR105925		r2014|R_r2014				
MNXR105926		r2015|R_r2015				
MNXR105927		r2016|R_r2016				
MNXR105928		r2017|R_r2017				
MNXR105929		r2018|R_r2018				
MNXR105930		r2019|R_r2019				
MNXR105931		r2020|R_r2020				
MNXR105932		r2021|R_r2021				
MNXR105933		r2022|R_r2022				
MNXR105934		r2023|R_r2023				
MNXR105935		r2024|R_r2024				
MNXR105936		r2026|R_r2026				
MNXR105937		r2027|R_r2027				
MNXR105938		r2028|R_r2028				
MNXR105939		r2029|R_r2029				
MNXR105940		r2030|R_r2030				
MNXR105941		r2031|R_r2031				
MNXR105942		r2032|R_r2032				
MNXR105943		r2034|R_r2034				
MNXR105944		r2035|R_r2035				
MNXR105945		r2036|R_r2036				
MNXR105946		r2037|R_r2037				
MNXR105947		r2038|R_r2038				
MNXR105948		r2039|R_r2039				
MNXR105949		r2040|R_r2040				
MNXR105950		r2041|R_r2041				
MNXR105951		r2042|R_r2042				
MNXR105952		r2043|R_r2043				
MNXR105953		r2044|R_r2044				
MNXR105954		r2045|R_r2045				
MNXR105955		r2046|R_r2046				
MNXR105956		r2047|R_r2047				
MNXR105957		r2048|R_r2048				
MNXR105958		r2049|R_r2049				
MNXR105959		r2050|R_r2050				
MNXR105960		r2051|R_r2051				
MNXR105961		r2052|R_r2052				
MNXR105962		r2053|R_r2053				
MNXR105963		r2054|R_r2054				
MNXR105964		r2055|R_r2055				
MNXR105965		r2056|R_r2056				
MNXR105966		r2057|R_r2057				
MNXR105967		r2058|R_r2058				
MNXR105968		r2059|R_r2059				
MNXR105969		r2060|R_r2060				
MNXR105970		r2061|R_r2061				
MNXR105971		r2062|R_r2062				
MNXR105972		r2063|R_r2063				
MNXR105973		r2064|R_r2064				
MNXR105974		r2065|R_r2065				
MNXR105975		r2066|R_r2066				
MNXR105976		r2067|R_r2067				
MNXR105977		r2068|R_r2068				
MNXR105978		r2069|R_r2069				
MNXR105979		r2070|R_r2070				
MNXR105980		r2071|R_r2071				
MNXR105981		r2073|R_r2073				
MNXR105982		r2080|R_r2080				
MNXR105983		r2081|R_r2081				
MNXR105984		r2082|R_r2082				
MNXR105985		r2083|R_r2083				
MNXR105986		r2084|R_r2084				
MNXR105995		r2093|R_r2093				
MNXR105996		r2094|R_r2094				
MNXR105997		r2095|R_r2095				
MNXR105998		r2096|R_r2096				
MNXR105999		r2097|R_r2097				
MNXR106000		r2098|R_r2098				
MNXR106001		r2099|R_r2099				
MNXR106002		r2100|R_r2100				
MNXR106003		r2101|R_r2101				
MNXR106004		r2102|R_r2102				
MNXR106005		r2103|R_r2103				
MNXR106006		r2104|R_r2104				
MNXR106007		r2105|R_r2105				
MNXR106008		r2106|R_r2106				
MNXR106009		r2107|R_r2107				
MNXR106010		r2108|R_r2108				
MNXR106012		r2110|R_r2110				
MNXR106013		r2111|R_r2111				
MNXR106014		r2112|R_r2112				
MNXR106015		r2113|R_r2113				
MNXR106016		r2114|R_r2114				
MNXR106017		r2115|R_r2115				
MNXR106018		r2116|R_r2116				
MNXR106019		r2117|R_r2117				
MNXR106020		r2118|R_r2118				
MNXR106021		r2119|R_r2119				
MNXR106022		r2120|R_r2120				
MNXR106023		r2121|R_r2121				
MNXR106024		r2122|R_r2122				
MNXR106025		r2123|R_r2123				
MNXR106026		r2124|R_r2124				
MNXR106027		r2125|R_r2125				
MNXR106028		r2126|R_r2126				
MNXR106029		r2127|R_r2127				
MNXR106030		r2128|R_r2128				
MNXR106031		r2129|R_r2129				
MNXR106032		r2130|R_r2130				
MNXR106033		r2131|R_r2131				
MNXR106034		r2132|R_r2132				
MNXR106036		r2139|R_r2139				
MNXR106037		r2140|R_r2140				
MNXR106038		r2141|R_r2141				
MNXR106039		r2142|R_r2142				
MNXR106040		r2143|R_r2143				
MNXR106041		r2144|R_r2144				
MNXR106042		r2145|R_r2145				
MNXR106043		r2146|R_r2146				
MNXR106044		r2147|R_r2147				
MNXR106045		r2148|R_r2148				
MNXR106046		r2149|R_r2149				
MNXR106047		r2150|R_r2150				
MNXR106048		r2151|R_r2151				
MNXR106049		r2152|R_r2152				
MNXR106050		r2153|R_r2153				
MNXR106051		r2154|R_r2154				
MNXR106052		r2155|R_r2155				
MNXR106053		r2156|R_r2156				
MNXR106054		r2157|R_r2157				
MNXR106055		r2158|R_r2158				
MNXR106056		r2159|R_r2159				
MNXR106057		r2160|R_r2160				
MNXR106058		r2161|R_r2161				
MNXR106059		r2162|R_r2162				
MNXR106060		r2163|R_r2163				
MNXR106061		r2164|R_r2164				
MNXR106062		r2165|R_r2165				
MNXR106063		r2166|R_r2166				
MNXR106064		r2167|R_r2167				
MNXR106065		r2168|R_r2168				
MNXR106066		r2169|R_r2169				
MNXR106067		r2170|R_r2170				
MNXR106068		r2171|R_r2171				
MNXR106069		r2172|R_r2172				
MNXR106070		r2173|R_r2173				
MNXR106071		r2174|R_r2174				
MNXR106072		r2175|R_r2175				
MNXR106073		r2176|R_r2176				
MNXR106074		r2177|R_r2177				
MNXR106075		r2178|R_r2178				
MNXR106076		r2179|R_r2179				
MNXR106077		r2180|R_r2180				
MNXR106078		r2181|R_r2181				
MNXR106079		r2182|R_r2182				
MNXR106080		r2183|R_r2183				
MNXR106081		r2184|R_r2184				
MNXR106082		r2185|R_r2185				
MNXR106083		r2186|R_r2186				
MNXR106084		r2187|R_r2187				
MNXR106085		r2188|R_r2188				
MNXR106086		r2189|R_r2189				
MNXR106087		r2190|R_r2190				
MNXR106088		r2191|R_r2191				
MNXR106089		r2192|R_r2192				
MNXR106090		r2193|R_r2193				
MNXR106091		r2194|R_r2194				
MNXR106092		r2195|R_r2195				
MNXR106093		r2196|R_r2196				
MNXR106094		r2197|R_r2197				
MNXR106095		r2198|R_r2198				
MNXR106096		r2199|R_r2199				
MNXR106097		r2200|R_r2200				
MNXR106098		r2201|R_r2201				
MNXR106099		r2202|R_r2202				
MNXR106100		r2203|R_r2203				
MNXR106101		r2204|R_r2204				
MNXR106102		r2205|R_r2205				
MNXR106103		r2206|R_r2206				
MNXR106104		r2207|R_r2207				
MNXR106105		r2208|R_r2208				
MNXR106106		r2209|R_r2209				
MNXR106107		r2210|R_r2210				
MNXR106108		r2211|R_r2211				
MNXR106109		r2212|R_r2212				
MNXR106110		r2213|R_r2213				
MNXR106111		r2214|R_r2214				
MNXR106112		r2215|R_r2215				
MNXR106113		r2216|R_r2216				
MNXR106114		r2217|R_r2217				
MNXR106115		r2218|R_r2218				
MNXR106116		r2219|R_r2219				
MNXR106117		r2220|R_r2220				
MNXR106118		r2221|R_r2221				
MNXR106119		r2222|R_r2222				
MNXR106120		r2223|R_r2223				
MNXR106121		r2224|R_r2224				
MNXR106122		r2225|R_r2225				
MNXR106123		r2226|R_r2226				
MNXR106124		r2227|R_r2227				
MNXR106125		r2228|R_r2228				
MNXR106126		r2229|R_r2229				
MNXR106127		r2230|R_r2230				
MNXR106128		r2231|R_r2231				
MNXR106129		r2232|R_r2232				
MNXR106130		r2233|R_r2233				
MNXR106131		r2234|R_r2234				
MNXR106132		r2235|R_r2235				
MNXR106133		r2236|R_r2236				
MNXR106134		r2237|R_r2237				
MNXR106135		r2238|R_r2238				
MNXR106136		r2239|R_r2239				
MNXR106137		r2240|R_r2240				
MNXR106138		r2241|R_r2241				
MNXR106139		r2242|R_r2242				
MNXR106140		r2243|R_r2243				
MNXR106141		r2244|R_r2244				
MNXR106142		r2245|R_r2245				
MNXR106143		r2246|R_r2246				
MNXR106144		r2247|R_r2247				
MNXR106145		r2248|R_r2248				
MNXR106146		r2249|R_r2249				
MNXR106147		r2250|R_r2250				
MNXR106148		r2251|R_r2251				
MNXR106149		r2252|R_r2252				
MNXR106150		r2253|R_r2253				
MNXR106151		r2254|R_r2254				
MNXR106152		r2255|R_r2255				
MNXR106153		r2256|R_r2256				
MNXR106154		r2257|R_r2257				
MNXR106155		r2258|R_r2258				
MNXR106156		r2259|R_r2259				
MNXR106157		r2260|R_r2260				
MNXR106158		r2261|R_r2261				
MNXR106159		r2262|R_r2262				
MNXR106160		r2263|R_r2263				
MNXR106161		r2264|R_r2264				
MNXR106162		r2265|R_r2265				
MNXR106163		r2266|R_r2266				
MNXR106164		r2267|R_r2267				
MNXR106165		r2268|R_r2268				
MNXR106166		r2269|R_r2269				
MNXR106167		r2270|R_r2270				
MNXR106168		r2271|R_r2271				
MNXR106169		r2272|R_r2272				
MNXR106170		r2273|R_r2273				
MNXR106171		r2274|R_r2274				
MNXR106172		r2275|R_r2275				
MNXR106173		r2276|R_r2276				
MNXR106174		r2277|R_r2277				
MNXR106175		r2278|R_r2278				
MNXR106176		r2279|R_r2279				
MNXR106177		r2280|R_r2280				
MNXR106178		r2281|R_r2281				
MNXR106179		r2282|R_r2282				
MNXR106180		r2283|R_r2283				
MNXR106181		r2284|R_r2284				
MNXR106182		r2285|R_r2285				
MNXR106183		r2286|R_r2286				
MNXR106184		r2287|R_r2287				
MNXR106185		r2288|R_r2288				
MNXR106186		r2289|R_r2289				
MNXR106187		r2290|R_r2290				
MNXR106188		r2291|R_r2291				
MNXR106189		r2292|R_r2292				
MNXR106190		r2293|R_r2293				
MNXR106191		r2294|R_r2294				
MNXR106192		r2295|R_r2295				
MNXR106193		r2296|R_r2296				
MNXR106194		r2297|R_r2297				
MNXR106195		r2298|R_r2298				
MNXR106196		r2299|R_r2299				
MNXR106197		r2300|R_r2300				
MNXR106198		r2301|R_r2301				
MNXR106199		r2302|R_r2302				
MNXR106200		r2303|R_r2303				
MNXR106201		r2304|R_r2304				
MNXR106202		r2305|R_r2305				
MNXR106203		r2306|R_r2306				
MNXR106204		r2307|R_r2307				
MNXR106205		r2308|R_r2308				
MNXR106206		r2309|R_r2309				
MNXR106207		r2310|R_r2310				
MNXR106208		r2311|R_r2311				
MNXR106209		r2312|R_r2312				
MNXR106210		r2313|R_r2313				
MNXR106211		r2314|R_r2314				
MNXR106212		r2315|R_r2315				
MNXR106213		r2316|R_r2316				
MNXR106214		r2317|R_r2317				
MNXR106215		r2318|R_r2318				
MNXR106216		r2319|R_r2319				
MNXR106217		r2320|R_r2320				
MNXR106218		r2321|R_r2321				
MNXR106219		r2322|R_r2322				
MNXR106220		r2323|R_r2323				
MNXR106221		r2324|R_r2324				
MNXR106222		r2325|R_r2325				
MNXR106223		r2326|R_r2326				
MNXR106224		r2327|R_r2327				
MNXR106225		r2328|R_r2328				
MNXR106226		r2329|R_r2329				
MNXR106227		r2330|R_r2330				
MNXR106228		r2331|R_r2331				
MNXR106229		r2332|R_r2332				
MNXR106230		r2333|R_r2333				
MNXR106231		r2334|R_r2334				
MNXR106232		r2335|R_r2335				
MNXR106233		r2341|R_r2341				
MNXR106234		r2342|R_r2342				
MNXR106235		r2346|R_r2346				
MNXR106236		r2347|R_r2347			50992|50993|50994|50995	
MNXR106237		r2352|R_r2352				
MNXR106238		r2354|R_r2354				
MNXR106239		r2355|R_r2355				
MNXR106240		r2356|R_r2356				
MNXR106241		r2357|R_r2357				
MNXR106242		r2358|R_r2358				
MNXR106243		r2359|R_r2359				
MNXR106244		r2360|R_r2360				
MNXR106245		r2361|R_r2361				
MNXR106246		r2362|R_r2362				
MNXR106247		r2363|R_r2363				
MNXR106248		r2364|R_r2364				
MNXR106249		r2365|R_r2365				
MNXR106250		r2366|R_r2366				
MNXR106251		r2367|R_r2367				
MNXR106252		r2368|R_r2368				
MNXR106253		r2371|R_r2371				
MNXR106254		r2372|R_r2372				
MNXR106255		r2374|R_r2374				
MNXR106256		r2375|R_r2375				
MNXR106257		r2376|R_r2376				
MNXR106258		r2377|R_r2377				
MNXR106259		r2378|R_r2378				
MNXR106260		r2379|R_r2379				
MNXR106261		r2380|R_r2380				
MNXR106262		r2381|R_r2381				
MNXR106263		r2382|R_r2382				
MNXR106264		r2384|R_r2384				
MNXR106265		r2385|R_r2385				
MNXR106266		r2386|R_r2386				
MNXR106267		r2387|R_r2387				
MNXR106268		r2388|R_r2388				
MNXR106269		r2389|R_r2389				
MNXR106270		r2390|R_r2390				
MNXR106271		r2391|R_r2391				
MNXR106272		r2392|R_r2392				
MNXR106273		r2393|R_r2393				
MNXR106274		r2394|R_r2394				
MNXR106275		r2395|R_r2395				
MNXR106276		r2396|R_r2396				
MNXR106277		r2397|R_r2397				
MNXR106278		r2398|R_r2398				
MNXR106279		r2399|R_r2399				
MNXR106280		r2400|R_r2400				
MNXR106281		r2402|R_r2402				
MNXR106282		r2403|R_r2403				
MNXR106283		r2404|R_r2404				
MNXR106284		r2405|R_r2405				
MNXR106285		r2406|R_r2406				
MNXR106286		r2407|R_r2407				
MNXR106287		r2408|R_r2408				
MNXR106288		r2409|R_r2409				
MNXR106289		r2410|R_r2410				
MNXR106290		r2411|R_r2411				
MNXR106291		r2413|R_r2413				
MNXR106292		r2419|R_r2419				
MNXR106293		r2420|R_r2420				
MNXR106294		r2425|R_r2425				
MNXR106295		r2447|R_r2447				
MNXR106296		r2449|R_r2449				
MNXR106297		r2482|R_r2482				
MNXR106298		r2483|R_r2483				
MNXR106299		r2484|R_r2484				
MNXR106300		r2485|R_r2485				
MNXR106301		r2486|R_r2486				
MNXR106302		r2487|R_r2487				
MNXR106303		r2488|R_r2488				
MNXR106304		r2489|R_r2489				
MNXR106305		r2490|R_r2490				
MNXR106306		r2491|R_r2491				
MNXR106307		r2492|R_r2492				
MNXR106308		r2493|R_r2493				
MNXR106309		r2494|R_r2494				
MNXR106310		r2495|R_r2495				
MNXR106311		r2496|R_r2496				
MNXR106312		r2499|R_r2499				
MNXR106313		r2501|R_r2501				
MNXR106314		r2502|R_r2502				
MNXR106315		r2503|R_r2503				
MNXR106316		r2505|R_r2505				
MNXR106317		r2507|R_r2507				
MNXR106318		r2508|R_r2508				
MNXR106319		r2509|R_r2509				
MNXR106320		r2510|R_r2510				
MNXR106321		r2511|R_r2511				
MNXR106322		r2512|R_r2512				
MNXR106323		r2513|R_r2513				
MNXR106324		r2514|R_r2514				
MNXR106325		r2515|R_r2515				
MNXR106326		r2517|R_r2517				
MNXR106327		r2518|R_r2518				
MNXR106328		r2520|R_r2520				
MNXR106329		r2521|R_r2521				
MNXR106330		r2538|R_r2538				
MNXR106331		r2539|R_r2539				
MNXR106332		udcdp20OagLpp|R_udcdp20OagLpp				
MNXR106333	R00001					3.6.1.10
MNXR106334	R00002			rxn11947		1.18.6.1
MNXR106335	R00006			rxn00003	20501|20502|20503|20504	2.2.1.6
MNXR106336	R00008		4.1.3.17-RXN	rxn00004	22748|22749|22750|22751	4.1.3.17
MNXR106337	R00011		MANGANESE-PEROXIDASE-RXN		22776|22777|22778|22779	1.11.1.13;1.11.1.16
MNXR106338	R00012		2.7.7.45-RXN	rxn00009	18153|18154|18155|18156	2.7.7.45
MNXR106339	R00015|R06135			rxn00012	23312|23313|23314|23315	2.4.1.99
MNXR106341	R00023		HYPONITRITE-REDUCTASE-RXN	rxn00017	19337|19338|19339|19340	1.7.1.5
MNXR106342	R00025			rxn14250	26458|26459|26460|26461	1.13.12.16
MNXR106343	R00026|R06092					3.2.1.21;3.2.1.25;3.2.1.74
MNXR106344	R00027		BENZOIN-ALDOLASE-RXN	rxn00021	21460|21461|21462|21463	4.1.2.38
MNXR106346	R00031		RXN-5861	rxn00024	34283|34284|34285|34286	1.10.3.1;1.14.18.1
MNXR106347	R00033					1.1.3.23
MNXR106348	R00034			rxn00027		4.1.99.3
MNXR106349	R00038		PROPIOIN-SYNTHASE-RXN	rxn00030	11100|11101|11102|11103	4.1.2.35
MNXR106350	R00039|R06139		RXN-11490	rxn00031|rxn14145	14125|14126|14127|14128	2.4.1.166
MNXR106351	R00041			rxn05761		1.1.3.20
MNXR106353	R00043		LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN	rxn00034	21340|21341|21342|21343	1.13.11.43
MNXR106354	R00044		COLUMBAMINE-OXIDASE-RXN	rxn00035	23564|23565|23566|23567	1.21.3.2
MNXR106355	R00045		RXN-13061	rxn00036	34287|34288|34289|34290	1.10.3;1.10.3.1;1.14.18.1
MNXR106356	R00047					1.14.99.-
MNXR106357	R00048		HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	rxn00038	10172|10173|10174|10175	3.1.1.22
MNXR106358	R00049			rxn00039	11416|11417|11418|11419	2.3.1.90
MNXR106359	R00052			rxn13963		1.11.1.10
MNXR106360	R00053		TANNASE-RXN	rxn00040	16365|16366|16367|16368	3.1.1.20
MNXR106361	R00054		ORSELLINATE-DEPSIDE-HYDROLASE-RXN	rxn00041	19549|19550|19551|19552	3.1.1.40
MNXR106362	R00055		RXN-7802	rxn00042	23036|23037|23038|23039	1.1.3.28
MNXR106363	R00056			rxn05763		3.6.1.-;3.6.1.9
MNXR106364	R00057		THIOL-OXIDASE-RXN		17357|17358|17359|17360	1.8.3.2
MNXR106365	R00058		CATECHOL-OXIDASE-RXN	rxn00043	21632|21633|21634|21635	1.10.3.1;1.14.18.1
MNXR106366	R00060		1.10.3.7-RXN	rxn05765	24092|24093|24094|24095	1.21.3.4
MNXR106367	R00061		1.10.3.8-RXN	rxn05766	22616|22617|22618|22619	1.21.3.5
MNXR106369	R00063			rxn00046	22664|22665|22666|22667	2.3.1.103
MNXR106370	R00067			rxn05767		1.12.99.6;1.18.6.1
MNXR106371	R00069		IMIDHYD-RXN	rxn14394		1.14.13.-;1.17.3;1.17.3.2
MNXR106372	R00070		RXN-16676	rxn00051		
MNXR106373	R00072					1.1.3.23
MNXR106374	R00073					1.14.99.1
MNXR106375	R00074		O-AMINOPHENOL-OXIDASE-RXN	rxn00054	40963|40964|40965|40966	1.10.3.4
MNXR106376	R00075		2.5.1.43-RXN	rxn00055	16481|16482|16483|16484	2.5.1.43
MNXR106377	R00076			rxn14392		2.7.11.19
