ID	brite
MNXM77	Other
MNXM789	Other
MNXM78	Peptides
MNXM795	Other
MNXM801	Other
MNXM813	Organic acids
MNXM820	Peptides
MNXM8263	Other
MNXM83	Lipids
MNXM8509	Carbohydrates
MNXM8664	Peptides
MNXM8667	Other
MNXM872	Organic acids
MNXM874	Other
MNXM87584	Peptides
MNXM87661	Other
MNXM881	Carbohydrates
MNXM89557	Peptides
MNXM89582	Other
MNXM89588	Carbohydrates
MNXM89612	Carbohydrates
MNXM89621	Other
MNXM89653	Other
MNXM89661	Organic acids
MNXM89689	Peptides
MNXM89735	Carbohydrates
MNXM89	Minerals
MNXM901	Other
MNXM90941	Carbohydrates
MNXM911	Other
MNXM923	Other
MNXM92	Other
MNXM933	Organic acids
MNXM93	Organic acids
MNXM94026	Other
MNXM943	Other
MNXM962	Other
MNXM963	Other
MNXM96917	Other
MNXM970	Other
MNXM98	Organic acids
MNXM99	Other
MNXM9	Minerals
