Row	MNXM1004	MNXM1018	MNXM1020	MNXM1039	MNXM105630	MNXM105	MNXM107	MNXM10881	MNXM1118	MNXM1119	MNXM111	MNXM112	MNXM1135	MNXM114091	MNXM114119	MNXM1142	MNXM114	MNXM1154	MNXM1158	MNXM117	MNXM1184	MNXM118	MNXM11	MNXM1213	MNXM1214	MNXM12187	MNXM1233	MNXM1255	MNXM127	MNXM1282	MNXM1287	MNXM1289	MNXM129	MNXM12	MNXM131	MNXM13282	MNXM132	MNXM1333	MNXM1341	MNXM1380	MNXM138	MNXM139	MNXM13	MNXM1407	MNXM140	MNXM142	MNXM1434	MNXM143	MNXM144	MNXM145579	MNXM145844	MNXM145	MNXM146119	MNXM146389	MNXM146395	MNXM146998	MNXM147	MNXM149192	MNXM1499	MNXM1514	MNXM1542	MNXM154	MNXM155029	MNXM156	MNXM15783	MNXM157	MNXM158	MNXM15900	MNXM159	MNXM15	MNXM160	MNXM1611	MNXM161565	MNXM1617	MNXM161	MNXM162260	MNXM162281	MNXM162288	MNXM1626	MNXM162924	MNXM1653	MNXM165	MNXM167	MNXM168170	MNXM168	MNXM1705	MNXM1709	MNXM172	MNXM1737	MNXM1744	MNXM179	MNXM17	MNXM1802	MNXM1819	MNXM182	MNXM186	MNXM187	MNXM1897	MNXM189	MNXM1910	MNXM1914	MNXM192	MNXM195	MNXM196	MNXM1984	MNXM198	MNXM199	MNXM1	MNXM207	MNXM20	MNXM213	MNXM216	MNXM217	MNXM218	MNXM21	MNXM222	MNXM2276	MNXM228	MNXM22	MNXM230	MNXM231	MNXM2323	MNXM233	MNXM234	MNXM2356	MNXM2387	MNXM23	MNXM2403	MNXM241	MNXM242	MNXM2449	MNXM244	MNXM245	MNXM2474	MNXM249	MNXM251	MNXM254	MNXM255	MNXM2561	MNXM256	MNXM258	MNXM25	MNXM2646	MNXM26	MNXM271	MNXM2758	MNXM280	MNXM2813	MNXM2843	MNXM285	MNXM288	MNXM2905	MNXM291	MNXM295	MNXM29	MNXM301	MNXM303	MNXM305	MNXM310	MNXM3135	MNXM316	MNXM322	MNXM323	MNXM3270	MNXM32	MNXM331	MNXM3329	MNXM332	MNXM336	MNXM338	MNXM339	MNXM3414	MNXM341	MNXM3483	MNXM348	MNXM34	MNXM3509	MNXM356	MNXM361	MNXM362	MNXM3633	MNXM364	MNXM366	MNXM36	MNXM373	MNXM374	MNXM376	MNXM379	MNXM386	MNXM390	MNXM39	MNXM402	MNXM40472	MNXM4121	MNXM41271	MNXM418	MNXM419	MNXM422	MNXM427	MNXM429	MNXM42	MNXM432	MNXM435	MNXM4391	MNXM440	MNXM445	MNXM448	MNXM454	MNXM458	MNXM460	MNXM461	MNXM4631	MNXM4635	MNXM469	MNXM46	MNXM4708	MNXM475	MNXM477	MNXM480	MNXM486	MNXM490	MNXM493	MNXM4961	MNXM4	MNXM506	MNXM508	MNXM514	MNXM5189	MNXM526203	MNXM5311	MNXM548	MNXM55158	MNXM553	MNXM555	MNXM55	MNXM5613	MNXM5617	MNXM5663	MNXM56	MNXM572	MNXM5749	MNXM579	MNXM582	MNXM5861	MNXM58	MNXM59041	MNXM59384	MNXM59552	MNXM597	MNXM599	MNXM60	MNXM61025	MNXM61028	MNXM61032	MNXM61038	MNXM615	MNXM61741	MNXM622	MNXM6396	MNXM649	MNXM650	MNXM65196	MNXM652	MNXM658	MNXM659	MNXM662	MNXM66	MNXM679	MNXM6822	MNXM699	MNXM69	MNXM70	MNXM721	MNXM722711	MNXM722772	MNXM722790	MNXM730	MNXM742	MNXM7454	MNXM746	MNXM7489	MNXM74	MNXM750	MNXM753	MNXM75	MNXM761	MNXM7678	MNXM770	MNXM77	MNXM789	MNXM78	MNXM795	MNXM801	MNXM813	MNXM820	MNXM8263	MNXM83	MNXM8509	MNXM8664	MNXM8667	MNXM872	MNXM874	MNXM87584	MNXM87661	MNXM881	MNXM89557	MNXM89582	MNXM89588	MNXM89612	MNXM89621	MNXM89653	MNXM89661	MNXM89689	MNXM89735	MNXM89	MNXM901	MNXM90941	MNXM911	MNXM923	MNXM92	MNXM933	MNXM93	MNXM94026	MNXM943	MNXM962	MNXM963	MNXM96917	MNXM970	MNXM98	MNXM99	MNXM9
Soil762	1	1	1	1	1	1	1	1	1	1	1	1	0.9842	1	1	1	0.9986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9811	1	1	1	1	1	0.9998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9445	1	1	1	1	1	1	0.9869	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9929	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9736	1	1	1	1	1	1	1	1	1	0.9857	1	0.9951	1	0.9445	1	1	1	1	1	1	1	1	0.9946	1	0.9925	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.978	1	1	1	1	1	1	1	1	1	0.9991	1	1	1	1	1	1	1	0.9445	1	1	1	1	1	0.9979	1	1	0.9445	1	1	1	1	0.9842	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9905	1	0.9981	1	1	1	1	1	1	1	1	1	1	1	1	0.9975	1	1	1	1	1	1	1	1	0.9445
Soil763	1	1	1	1	1	1	1	0.972	1	1	1	1	1	1	1	0.9872	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9813	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9928	1	1	1	1	1	1	1	1	0.9978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998	1	1	1	1	0.9895	1	1	1	1	1	1	0.9832	1	0.9832	1	1	0.9605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9847	1	1	1	1	0.994	1	0.9978	1	1	1	1	1	1	1	1	1	1	1	0.9807	0.9813	1	1	1	1	1	1	1	1	1	1	1	0.9907	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9875	1	0.9844	1	0.9832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9953	1	0.9832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9924	1	0.9612	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9832	1	1	1	1	1	1	1	1	0.9748
Soil764	1	1	1	1	1	1	1	1	1	1	0.9983	1	1	1	1	1	0.9951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9951	1	1	0.9784	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9963	1	1	1	1	1	1	1	1	0.9946	1	1	1	1	0.9775	1	1	1	1	0.9937	1	1	1	1	0.9647	1	0.9887	1	0.9787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9942	1	1	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9756	1	1	1	1	1	1	1	1	1	0.9964	1	0.9957	1	0.9948	1	1	1	1	1	1	1	1	1	0.9966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9806	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9986	1	1	1	1	0.9923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9628	1	1	1	1	1	0.9933	1	0.9924	1	1	1	1	1	1	1	1	1	1	1	1	0.9921	1	1	1	1	1	1	1	1	0.9593
Soil768D1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.973	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	0.9946	0.9999	0.9719	1	1	1	1	1	0.9713	1	1	0.9969	1	1	0.9969	1	1	1	1	1	0.9987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9969	1	1	1	1	1	1	1	1	0.9486	1	1	1	1	1	1	1	1	0.9847	1	0.9802	1	0.9761	1	1	1	1	1	1	1	1	0.9876	1	0.998	1	1	1	1	1	1	1	1	1	1	1	1	0.9465	1	1	1	0.9995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9781	1	1	0.9995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9993	1	1	1	1	1	1	1	1	1	1	1	0.9615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9982	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9975	1	1	1	1	1	1	1	1	1	1	0.9802	1	1	1	1	1	1	1	1	0.9466
Soil772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9909	1	1	1	1	1	1	1	0.9805	1	1	0.9553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9976	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9717	1	1	1	1	1	1	1	1	1	1	0.9799	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9606	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9465	1	1	1	1	1	0.9803	1	1	1	1	1	1	1	0.967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9784	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9787	0.9902	1	1	1	1	1	1	1	1	0.9507
Soil773	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9091
Soil774	1	1	1	1	1	1	1	0.9873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9935	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9958	1	1	1	1	1	1	1	1	0.9963	1	1	1	1	0.9742	1	1	1	1	0.991	1	1	1	1	0.9833	1	0.9789	1	0.9649	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9687	1	1	1	1	1	1	1	1	1	1	1	1	0.9873	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9936	0.9501	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9789	1	1	1	1	1	1	1	1	0.9498
Soil777	1	1	1	1	1	1	1	0.9849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9996	1	1	1	1	1	1	1	1	0.9531	1	1	1	1	0.9947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9961	1	1	1	1	0.9944	1	1	1	1	0.9907	1	1	1	1	1	1	1	1	0.9781	1	1	0.9676	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9753	0.9849	1	1	1	1	1	1	1	1	1	0.9849	1	1	1	1	1	1	1	0.9904	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9862	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9781	1	1	1	1	1	1	1	1	0.9676
Soil782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9863	1	1	1	0.976	1	1	1	0.9425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9674	1	1	1	1	1	1	1	1	0.9512	1	1	1	1	1	1	0.9969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9832	1	0.9999	1	1	0.9916	1	1	1	1	0.9796	1	0.9821	1	0.9622	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9712	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9791	1	1	1	1	1	1	0.9996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9728	1	1	1	1	1	1	1	1	1	0.984	1	1	1	1	0.9821	1	1	1	1	1	1	1	1	0.9425
Soil787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9894	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9989	1	1	1	1	1	0.9535	1	1	1	1	0.9964	1	0.9832	0.9893	0.9998	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9869	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	0.996	1	1	1	1	0.9755	1	1	1	1	1	0.9614	1	0.9968	1	1	0.9949	1	1	1	1	1	1	1	1	1	0.9726	1	1	1	1	1	1	1	1	1	1	0.9893	1	1	1	1	1	1	1	1	1	1	1	0.9894	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9892	1	1	1	0.9941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9667	1	1	1	1	1	1	0.9903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9924	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9876	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.996	1	1	1	1	1	1	1	1	0.9644
Soil796	1	1	1	1	1	0.9977	1	0.9782	1	1	1	1	1	1	1	1	0.9974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9644	1	1	1	1	1	1	1	0.9844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9982	0.9897	1	1	1	1	1	1	1	1	0.9982	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9806	1	1	1	1	1	1	0.9916	1	0.9952	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9872	1	0.9982	1	0.9964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.976	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9971	0.9849	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9974	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9907	1	0.9733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9967	1	1	1	1	1	1	1	1	0.964
Soil802	1	1	1	1	1	1	1	0.9958	1	1	1	1	1	1	1	1	0.9991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9784	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9989	1	1	1	1	1	1	1	1	0.9855	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9902	1	1	1	0.994	1	0.995	1	1	0.9974	1	1	1	1	0.9902	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993	1	1	1	1	0.9949	1	1	1	1	1	1	1	1	1	0.9712	1	0.986	1	0.9753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9915	1	1	1	1	1	1	1	0.987	1	1	1	1	1	0.9962	1	1	1	1	1	1	0.9959	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9815	1	1	1	1	0.9955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	1	1	0.9994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9872	1	1	1	1	1	0.9882	1	1	1	1	0.9889	1	1	1	1	1	1	1	1	1	0.9902	1	1	1	1	1	1	1	1	0.9635
Soil809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9811	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9943	1	1	1	1	1	1	0.9991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9826	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.979	1	1	1	1	1	1	1	0.9763	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9991	1	1	1	1	1	1	1	1	0.9252
Soil810	1	1	1	1	1	1	1	0.9838	1	1	1	1	1	1	1	1	0.9978	0.997	1	1	1	1	1	1	1	1	1	1	1	1	0.9882	1	1	0.9997	1	1	1	1	1	1	1	1	0.9882	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9937	1	1	1	1	0.9959	1	1	1	1	1	1	1	1	1	0.9793	1	0.9896	1	0.9709	1	1	0.9538	1	1	1	1	1	1	1	0.9995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9529	0.9858	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9977	1	1	1	1	1	1	1	0.9999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9995	0.9977	1	1	1	1	1	1	1	1	1	1	0.9997	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9917	1	1	1	1	1	1	1	1	1	1	0.9998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9922	1	1	1	1	1	1	1	1	0.955
