M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
66	83	56	60	73	45	69	75	60	58	68	47	54	49	52	70	56	60	45	52
66	82	58	68	73	44	68	74	53	58	66	56	42	49	53	70	54	60	45	52
67	82	58	68	74	43	69	73	60	57	67	56	54	43	54	67	53	59	45	40
66	84	59	69	72	45	71	75	61	58	70	54	52	49	54	69	39	60	42	54
54	82	57	60	72	44	70	74	61	59	70	52	54	49	53	68	56	60	45	54
68	87	59	70	74	45	71	75	43	58	71	54	53	49	55	69	55	60	46	54
66	86	58	67	72	44	69	61	62	57	70	53	52	49	53	59	53	53	46	53
66	83	57	65	54	45	71	67	61	58	67	54	54	49	53	71	57	60	44	52
66	81	57	67	73	41	69	74	62	58	72	53	54	49	53	71	55	52	45	52
66	83	57	59	72	46	70	73	61	54	65	52	54	35	53	61	55	59	45	53
68	84	58	68	72	44	71	73	61	58	70	53	51	44	55	70	58	59	39	53
66	86	59	58	61	45	67	76	60	58	63	55	52	49	55	59	55	59	44	54
68	82	58	69	71	46	72	74	62	59	69	54	53	49	54	69	46	62	37	40
66	82	47	69	72	46	70	76	62	58	72	55	54	49	51	68	57	60	41	51
68	86	59	68	74	46	71	75	60	58	68	44	52	49	53	70	54	59	47	52
66	85	56	69	72	44	72	61	61	57	69	55	53	50	53	70	55	60	46	52
68	82	56	68	63	44	70	76	62	58	71	52	54	35	54	70	45	59	47	53
68	83	57	60	61	45	71	73	61	53	68	54	52	49	54	61	46	60	45	53
66	85	57	68	72	46	71	61	61	58	68	47	54	49	53	66	53	60	47	52
66	81	56	68	72	45	71	75	61	57	60	54	55	49	55	70	56	59	45	52
68	82	58	69	54	45	70	67	60	53	69	54	52	49	54	67	57	60	46	53
66	87	56	69	73	45	53	73	60	59	69	55	49	49	53	61	55	62	47	55
