M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20
65	83	70	98	76	64	80	84	75	61	79	48	66	70	66	69	70	67	55	68
63	83	71	90	74	62	76	84	64	65	66	54	56	71	76	69	68	66	60	77
66	83	72	101	74	62	90	67	61	65	73	52	67	66	76	68	70	71	58	77
62	83	68	87	76	56	76	84	75	61	71	53	57	66	76	69	70	67	60	66
65	88	74	90	76	57	80	87	75	65	79	55	56	69	70	66	53	67	62	68
66	87	68	94	70	53	76	84	61	65	79	47	55	66	76	69	71	65	60	69
67	88	72	90	60	62	76	84	56	65	79	55	55	70	71	74	70	63	56	67
65	84	72	94	62	62	76	84	64	65	76	54	56	70	67	65	70	66	60	56
63	83	72	94	76	62	82	84	67	63	80	54	55	66	76	71	66	67	57	56
66	84	71	81	70	62	79	87	75	65	66	54	66	71	66	59	70	62	60	74
65	85	68	90	69	65	76	84	70	66	73	51	54	72	67	75	70	62	58	77
63	86	70	101	76	62	76	67	70	65	67	54	67	66	76	69	71	66	56	68
67	85	72	94	76	66	79	84	75	65	73	54	67	68	76	69	71	67	48	69
63	83	74	90	75	62	72	84	70	65	79	55	63	69	70	68	68	67	58	69
63	92	70	94	76	63	76	67	64	65	79	49	57	66	76	73	66	63	60	69
63	84	70	87	76	62	76	83	75	66	79	55	57	66	76	69	67	66	60	67
63	83	68	103	76	60	76	87	75	63	67	52	56	57	76	70	71	65	60	77
64	88	60	101	76	62	83	84	65	65	64	52	66	66	69	73	68	67	55	77
65	90	71	98	70	58	76	97	75	63	81	48	55	68	76	69	71	66	51	69
64	85	72	94	69	62	79	83	75	65	78	54	56	66	76	75	71	64	58	68
63	83	70	90	63	62	82	84	64	65	74	54	54	57	76	69	70	66	60	69
63	83	71	105	76	62	76	84	70	65	66	55	54	66	76	73	71	66	60	68
