M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
62	83	71	91	61	82	83	68	62	67	73	68	72	77	53	62	67	68	60	70	72	65	56	67
62	83	70	88	74	79	83	69	62	67	73	74	72	74	55	70	67	68	70	71	60	63	56	68
65	83	66	91	69	83	83	68	62	67	74	74	71	79	47	54	72	65	66	56	67	61	59	76
60	83	69	91	72	75	85	68	62	70	73	68	72	65	55	54	65	75	74	56	67	65	59	66
62	83	69	91	72	75	84	68	62	67	73	74	72	77	55	71	65	53	66	67	69	65	59	68
64	90	69	91	72	75	83	68	51	75	73	68	71	73	53	55	71	65	66	66	72	61	56	73
62	83	60	91	74	75	83	69	62	67	75	71	72	78	53	53	65	75	69	70	67	64	59	68
62	72	69	95	72	75	83	74	62	68	80	68	72	79	49	55	65	75	66	66	67	66	59	66
62	87	69	91	72	75	83	68	62	68	73	75	72	77	47	52	52	75	69	71	67	66	59	68
62	83	71	91	69	82	83	68	62	69	73	70	72	73	52	54	67	68	60	71	65	65	56	66
66	84	70	88	61	76	85	68	62	72	73	68	72	77	55	54	67	68	70	66	69	65	56	66
63	83	69	89	69	78	83	65	60	67	73	71	75	77	53	54	65	75	68	67	67	62	59	68
65	90	69	97	61	75	83	69	51	70	78	74	73	73	53	55	65	75	66	70	65	61	59	66
65	83	69	91	74	75	83	68	62	70	70	68	74	77	53	55	65	53	69	67	67	66	56	69
62	83	69	91	72	82	83	68	60	67	73	74	71	77	49	53	65	65	70	56	69	66	56	68
62	83	66	91	63	78	83	63	62	67	73	72	72	80	53	54	65	75	66	66	67	64	46	66
65	87	69	96	70	83	83	68	62	69	69	68	72	80	55	55	52	71	67	70	67	68	59	69
62	83	69	88	69	75	83	62	62	70	80	65	72	80	53	58	65	71	66	73	67	65	59	67
61	87	67	88	70	83	83	68	62	65	67	68	74	80	53	55	65	71	72	74	67	65	56	69
62	83	69	97	69	75	83	54	62	68	73	75	71	73	49	52	71	67	69	67	69	66	56	68
63	83	60	97	69	75	83	62	60	68	73	74	72	71	49	52	65	75	69	66	67	68	60	67
62	87	66	88	72	75	84	74	62	67	73	72	72	77	53	54	65	53	70	66	67	66	59	67
62	83	69	90	61	82	96	74	60	75	77	71	73	76	53	54	65	53	69	67	67	61	56	66
62	83	69	91	72	75	83	75	58	67	72	74	72	77	55	62	65	75	70	56	67	65	56	65
65	87	69	88	70	75	83	74	62	74	73	74	72	69	55	55	52	75	66	67	67	65	59	66
65	83	66	88	69	75	90	68	62	68	74	68	72	72	51	52	65	70	66	70	67	67	46	74
61	83	68	91	74	78	84	75	66	68	73	74	72	77	53	54	65	65	66	71	69	62	59	68
62	83	69	91	72	75	79	75	51	68	73	68	72	77	53	54	65	75	66	71	67	66	59	68
60	83	70	91	74	79	66	74	62	70	73	68	72	67	52	55	67	66	67	71	70	66	56	65
61	83	69	89	72	72	87	69	62	67	71	68	72	77	53	53	67	68	70	71	72	66	56	66
62	83	69	102	69	78	83	62	62	68	73	68	78	81	52	54	65	75	69	56	67	65	59	65
60	87	69	91	60	75	83	74	62	68	72	74	72	72	53	55	68	75	72	67	67	62	59	67
62	83	70	91	74	83	85	68	62	62	77	74	72	77	53	54	65	75	69	67	67	65	59	68
65	94	69	96	70	83	83	74	63	68	76	68	74	75	53	55	65	71	69	70	67	66	53	66
62	83	69	88	74	75	66	69	67	67	72	72	72	73	55	55	65	75	69	71	67	64	59	68
62	87	69	91	72	75	83	75	62	62	73	74	80	77	55	53	65	75	75	66	67	66	59	66
