M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
55	59	64	50	56	70	61	48	54	56	49	55	62	69	55	47	52	49	49	48	61	57	58	54	64	79	62	58	45	50	48	53	43	57	81	52	57	78	50	45	54	44	47	53	51	51	50	54	69	46	52	56	44	38	53	44	67	63	55	70	82	38	73	74	65	55	47	79	62	69	45	51	43	67	60	56	62	54	54	56	52	60	76	47	37	44	64	40	38	47	46	50	51	78	58	72	54
58	60	70	49	58	66	63	51	55	56	50	59	60	67	58	50	52	48	49	51	59	62	59	58	67	75	60	62	45	49	51	57	43	55	80	50	61	72	57	46	57	43	58	55	46	48	46	54	70	52	54	54	44	40	54	46	67	71	47	68	65	44	69	77	66	55	48	80	59	69	46	55	46	68	60	60	65	40	56	59	53	63	79	44	36	44	61	44	38	49	49	57	56	70	51	68	54
55	57	61	50	59	78	61	52	53	56	46	56	52	64	54	49	53	49	45	54	54	60	58	52	64	75	60	60	45	52	62	57	42	52	82	52	58	71	58	41	55	47	59	55	47	46	47	53	60	47	45	55	46	38	46	43	69	70	51	61	83	38	69	72	65	53	43	80	64	63	48	49	45	67	56	62	67	54	56	56	49	65	74	48	37	42	63	43	41	42	43	55	52	78	50	71	54
59	53	63	52	58	84	60	50	55	55	57	57	61	71	58	50	51	48	48	51	58	53	55	53	64	74	63	61	43	48	60	59	46	49	84	52	63	72	58	46	54	47	56	55	52	52	49	59	70	57	54	55	45	47	47	47	70	67	49	68	75	44	74	77	65	61	48	83	65	71	46	53	41	68	60	60	61	56	54	58	52	66	76	49	36	43	63	43	43	51	45	58	54	78	59	63	58
55	51	61	51	58	72	60	50	54	53	56	58	60	63	53	50	47	36	44	51	58	59	57	55	67	78	66	60	43	47	62	45	43	52	78	55	52	70	50	43	55	44	56	55	47	52	48	53	70	57	53	56	46	45	45	44	66	70	50	65	80	39	71	75	65	56	47	79	57	69	49	52	41	68	50	55	63	48	52	53	53	59	73	48	34	39	64	40	41	43	43	57	52	82	57	72	55
58	53	59	51	64	65	63	48	54	56	49	54	47	65	53	50	51	48	47	51	59	62	59	58	67	73	67	60	43	48	66	57	43	44	75	52	63	63	57	42	55	42	40	52	51	48	52	53	70	41	45	53	46	46	47	46	69	69	53	53	69	42	74	76	66	60	48	84	65	69	46	53	41	68	61	57	65	56	52	58	52	65	76	48	37	44	62	42	41	57	45	57	54	80	50	75	56
55	52	63	56	58	65	62	56	55	55	50	55	61	67	51	47	51	48	51	55	58	62	59	58	67	79	63	55	43	49	63	57	36	49	76	54	62	70	57	46	57	39	56	53	47	48	48	53	69	53	54	54	44	38	55	46	69	70	53	66	81	40	51	76	67	61	48	79	65	69	43	54	41	69	57	62	66	45	52	55	52	62	78	49	35	41	61	42	40	49	44	58	54	73	53	69	52
55	59	65	50	56	74	52	52	52	56	49	56	62	68	55	49	52	49	46	50	63	50	59	55	66	73	60	61	44	51	60	58	42	54	83	55	61	71	59	41	51	46	56	55	47	51	46	60	69	54	52	53	50	42	46	45	63	68	53	62	77	40	71	75	63	56	43	78	64	69	50	54	45	67	60	61	62	54	54	57	51	68	78	44	36	42	64	38	41	58	46	56	50	77	60	73	56
55	59	64	50	57	60	61	51	54	55	49	55	60	66	48	49	50	49	51	48	58	59	53	55	66	77	63	59	43	46	57	57	40	57	78	52	62	71	58	36	54	46	60	55	47	48	50	53	69	53	52	51	44	38	47	46	69	67	53	60	77	40	69	72	65	59	47	79	55	69	46	54	39	67	60	61	59	54	54	57	52	55	77	46	31	44	62	43	42	56	42	56	53	78	57	74	55
55	52	65	51	59	68	61	50	51	56	49	58	63	66	55	49	52	49	48	53	55	60	61	55	65	79	64	59	50	49	64	57	42	49	81	55	63	70	51	40	55	46	53	52	47	50	48	53	69	54	52	54	49	42	48	44	69	67	54	63	89	40	68	72	65	54	47	81	53	71	50	50	35	67	50	62	56	54	53	60	53	63	77	46	37	39	64	43	40	53	44	58	52	67	48	68	55
55	59	63	49	56	71	61	51	54	55	46	56	56	61	54	45	53	49	45	52	63	59	59	55	66	76	62	60	43	47	61	58	40	47	79	40	63	69	59	42	54	46	58	55	48	51	48	59	64	54	52	56	50	45	47	46	69	68	53	61	81	39	73	74	66	58	47	80	58	67	48	52	41	68	59	60	66	54	54	57	53	61	73	45	32	44	64	42	37	47	45	55	52	78	57	71	54
55	53	69	49	56	74	64	53	56	56	49	56	62	63	56	45	52	47	52	52	58	59	52	53	64	76	62	60	43	49	57	47	43	51	80	51	63	71	58	41	55	45	59	55	51	52	50	53	69	50	45	53	50	40	54	46	69	68	53	59	77	39	66	77	65	55	47	82	57	71	50	52	43	67	61	50	62	49	54	56	52	64	76	45	38	42	63	38	42	47	45	59	52	78	53	74	56
55	52	64	51	57	80	61	53	54	54	54	58	63	64	52	52	50	48	47	51	60	60	58	55	67	79	63	59	48	50	59	58	41	57	79	53	62	71	57	41	54	46	58	54	47	48	48	53	59	54	52	53	46	45	53	45	66	63	53	64	85	38	70	76	65	57	47	79	64	70	43	54	40	67	60	60	61	53	55	58	53	63	66	46	36	44	61	42	43	48	44	56	53	79	48	71	54
46	52	57	45	53	70	60	52	54	56	49	59	54	61	53	48	52	49	45	49	55	55	60	53	67	79	59	55	43	48	60	58	40	49	77	56	63	69	57	41	56	46	61	53	47	45	47	52	70	50	51	54	46	39	45	45	69	67	54	63	86	39	69	71	66	59	47	79	60	68	48	50	41	67	56	60	67	52	51	57	52	65	75	44	36	44	60	42	38	47	42	57	52	78	51	71	51
55	59	65	50	59	74	62	49	54	57	49	54	52	66	55	48	53	39	47	43	63	60	57	53	66	73	59	61	42	46	57	57	41	54	81	53	63	70	57	41	53	44	56	54	45	52	48	52	69	54	54	53	49	42	53	45	71	66	48	58	66	38	75	62	67	55	47	82	57	69	48	55	41	67	60	62	66	53	57	54	52	68	74	48	37	44	64	42	34	50	44	54	52	76	52	75	54
55	52	65	46	55	74	59	52	54	56	49	58	63	66	55	46	50	51	51	46	61	63	58	55	67	79	65	58	45	51	62	57	39	54	78	53	54	70	58	41	53	46	49	54	51	50	46	60	70	51	49	52	48	45	48	45	69	70	50	65	77	44	70	79	66	57	43	82	60	71	46	51	45	62	60	59	63	54	57	54	50	64	89	45	38	46	62	43	36	60	44	50	52	78	51	70	54
58	60	64	52	62	75	63	51	55	49	49	55	59	64	48	50	53	38	48	54	59	58	59	55	57	74	61	55	48	48	59	57	46	54	76	52	61	70	57	41	55	47	58	52	52	49	52	54	69	57	55	57	46	39	54	47	69	71	53	66	79	40	67	63	67	59	47	84	62	71	50	54	42	68	60	62	59	56	53	59	53	62	87	46	36	41	64	44	39	52	45	56	54	82	56	80	56
57	52	64	50	58	75	60	50	47	55	49	56	60	63	53	46	50	42	47	51	48	59	59	55	67	71	63	57	41	50	59	58	42	57	81	56	63	70	57	39	55	44	57	53	47	50	45	53	72	54	50	52	46	38	51	45	69	70	51	56	87	38	70	68	65	58	47	83	55	69	46	49	41	67	60	53	62	52	57	59	52	63	66	46	34	44	64	42	41	56	44	55	52	78	58	70	54
