M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
17	12	17	15	13	16	18	13	15	16	9	19	18	20	16	16	14	20	23	20	19	18	15	12	15	12	13	12	27	21	11	20	18	16	17	24	13	17	14	15	12	12	15	17	10	15	19	9	15	17	19	10	15	11	8	14	16	5	20	21	16	17	25	20	11	20	17	16	20	16	20	11	20	14	10	19	15	16	16	15	18	22	18	29	16	17	20	16	19	18	18	10	10	16	19	18	16
18	13	21	14	15	13	20	15	17	18	10	21	19	21	17	17	14	21	25	21	18	20	14	13	17	14	13	13	27	22	11	22	19	16	17	21	19	18	15	16	14	11	21	19	11	14	20	10	16	22	20	11	15	12	9	16	15	12	14	23	11	19	23	21	12	21	18	16	19	16	19	12	21	15	10	19	16	9	17	17	20	23	20	30	16	16	18	18	18	19	20	15	13	12	17	14	16
16	11	18	14	16	16	19	14	17	18	8	19	16	20	15	16	14	20	21	23	16	19	15	10	15	11	13	13	25	21	21	21	18	16	20	24	17	17	15	15	13	12	20	17	10	14	20	9	9	17	15	11	16	11	8	16	16	11	19	20	16	19	23	18	11	14	18	16	21	8	19	9	20	14	7	20	15	16	16	15	14	24	18	30	17	17	20	17	20	13	17	14	11	17	18	16	16
18	13	19	16	15	20	19	9	17	17	10	20	20	21	17	17	15	21	24	20	17	16	11	11	14	11	15	13	24	23	21	20	19	15	21	25	19	18	16	15	14	13	21	18	11	15	20	10	16	21	20	12	16	12	7	16	17	11	17	22	14	19	25	20	11	21	18	17	22	16	17	11	19	15	10	20	14	17	16	16	19	25	20	30	16	19	20	18	20	20	17	15	12	17	21	11	16
17	10	15	15	13	17	18	13	15	13	9	19	20	19	14	15	9	9	24	21	17	18	14	12	16	11	13	13	24	20	19	12	19	15	18	23	16	16	14	14	13	12	19	18	10	16	18	8	15	21	18	10	14	11	7	14	15	11	16	22	16	16	22	19	12	19	17	16	20	16	20	10	19	14	6	13	13	14	16	13	20	21	18	31	16	16	20	15	20	17	16	14	12	16	19	15	17
18	6	13	15	18	13	21	11	16	18	9	12	10	19	15	17	15	21	24	23	18	20	16	12	16	6	14	12	24	19	21	21	19	9	17	22	18	8	16	15	14	11	10	16	10	14	20	8	16	10	12	11	15	9	7	16	16	11	18	14	10	17	25	20	12	21	18	17	22	16	19	11	19	14	9	19	16	17	16	15	19	24	20	31	16	18	19	16	20	18	17	15	12	17	19	18	18
17	12	19	16	16	14	20	15	17	17	10	18	19	21	15	10	15	19	24	22	17	20	16	13	17	13	13	10	24	21	21	21	16	14	18	23	19	16	16	15	14	8	19	15	10	14	17	8	15	19	20	11	15	11	9	12	16	11	17	16	19	16	13	20	13	21	18	15	22	16	16	12	19	15	8	19	16	12	16	14	20	22	20	31	16	16	19	16	17	19	16	14	11	16	18	15	15
17	12	18	15	14	19	9	14	12	18	9	19	18	20	16	16	14	20	22	22	19	13	16	12	16	10	14	13	24	22	20	22	18	15	20	23	18	17	15	14	11	12	19	18	10	16	20	9	15	20	19	10	17	12	7	15	16	10	17	21	17	16	24	20	10	20	18	15	21	16	20	11	20	14	10	20	15	16	16	15	18	24	11	28	16	17	20	15	20	18	18	14	7	16	20	17	17
17	12	19	15	14	10	19	14	16	17	9	19	18	19	9	16	13	20	24	19	17	19	9	12	16	13	16	12	27	22	21	21	17	16	18	24	18	17	15	16	13	12	21	18	10	14	19	9	15	19	19	11	15	10	8	15	16	9	17	21	18	18	24	18	11	20	17	16	13	16	19	11	19	14	10	20	14	16	16	16	19	20	19	29	14	17	19	17	20	19	16	14	12	16	20	17	16
17	12	19	15	16	8	19	14	11	18	9	20	19	20	16	17	14	20	24	22	17	19	16	12	15	12	15	12	28	21	21	21	18	14	19	24	18	17	11	14	13	12	18	16	10	14	18	9	15	20	19	10	16	7	8	15	16	12	19	21	17	18	23	20	11	18	17	15	14	15	20	10	16	14	6	19	13	16	15	16	19	24	19	29	16	18	20	17	16	19	18	14	11	9	17	15	16
17	12	18	15	14	16	19	14	16	12	5	19	18	14	15	10	14	20	22	22	19	19	14	12	16	13	15	13	24	20	21	22	16	13	19	12	18	16	15	15	13	12	19	18	10	16	18	8	11	20	19	10	17	11	8	15	16	10	17	21	18	18	24	19	12	19	17	18	21	13	20	10	19	14	11	20	14	15	16	15	19	21	18	28	13	17	20	16	18	18	19	13	11	17	19	16	15
17	12	20	15	12	19	20	14	15	18	9	19	18	19	15	9	14	18	24	21	17	19	8	11	14	12	15	13	24	21	19	11	18	14	18	20	18	17	15	14	13	11	20	18	10	15	19	9	15	15	14	11	17	10	8	15	16	13	17	20	16	19	21	20	11	19	17	16	18	15	20	10	20	13	10	19	15	15	16	14	19	24	19	29	16	17	19	13	20	18	19	15	11	16	18	17	17
17	12	18	15	14	19	19	14	16	16	9	20	18	20	14	17	14	18	23	20	18	19	15	12	16	12	13	12	27	19	20	22	16	16	18	23	18	17	15	15	13	12	20	17	10	14	18	9	12	20	18	10	14	12	8	14	14	5	18	22	16	14	24	18	11	19	17	16	21	14	16	11	19	14	10	20	13	15	17	15	19	23	8	28	16	17	19	16	20	18	17	14	12	17	21	16	16
12	12	11	14	11	15	20	14	16	18	9	20	16	17	14	15	14	19	21	20	17	16	15	11	16	12	14	10	24	22	20	22	16	14	17	24	18	16	15	14	13	12	22	17	10	12	17	8	15	17	19	10	15	11	7	15	16	9	18	18	17	18	23	18	12	19	17	15	20	14	19	10	19	13	10	19	15	14	16	15	19	23	17	28	16	16	19	16	18	18	16	14	11	16	17	16	15
17	12	19	15	16	19	19	13	16	17	9	15	14	19	14	14	13	14	24	14	19	18	15	11	16	10	13	13	24	21	19	21	17	15	19	23	18	16	16	14	13	12	19	17	7	15	18	8	15	20	20	10	16	11	7	15	16	13	16	12	12	17	25	16	13	21	17	16	20	16	20	12	19	14	12	19	16	15	17	13	20	24	18	30	16	17	20	16	15	13	18	14	11	15	18	15	15
17	12	18	14	14	19	18	14	15	18	9	20	18	19	16	12	14	21	25	18	18	20	15	12	16	12	12	11	26	20	20	21	16	17	19	23	10	16	15	14	13	12	16	18	10	14	18	9	16	21	17	10	15	11	7	15	16	11	17	23	16	17	24	20	12	19	18	18	18	17	19	9	20	7	10	20	13	16	16	11	18	22	19	30	17	17	19	17	18	19	18	12	12	16	20	15	16
18	13	16	16	16	20	19	15	17	10	9	18	17	19	9	17	13	10	24	24	18	18	16	12	8	8	13	6	25	23	21	21	19	15	18	25	19	16	16	15	14	13	21	16	11	15	20	10	15	21	19	10	16	12	9	16	18	12	18	19	15	16	22	11	13	21	17	18	20	15	20	12	19	15	10	19	14	17	15	16	19	22	20	30	16	16	20	18	14	19	17	14	12	17	19	18	17
15	12	17	15	13	19	19	14	9	17	9	18	17	19	15	12	14	15	23	20	8	18	16	12	16	8	14	12	25	19	20	22	16	16	19	23	18	14	15	13	13	12	19	17	10	15	17	8	15	20	18	10	14	11	7	15	16	11	14	14	17	15	24	16	12	19	17	17	16	16	19	8	19	14	10	17	15	15	15	15	19	24	8	29	11	17	20	16	20	19	18	14	11	18	19	15	16
17	12	15	15	13	20	20	14	13	18	8	18	20	20	16	17	14	20	24	20	18	19	14	12	16	9	13	12	24	20	21	22	18	16	20	24	18	17	15	16	13	12	21	14	10	14	15	9	15	19	19	10	15	11	7	14	14	7	18	21	15	16	24	20	11	20	17	15	21	14	20	10	19	14	10	20	13	14	16	15	18	22	19	29	15	17	19	15	14	18	19	14	11	16	18	17	17
17	6	18	15	15	17	19	14	16	17	9	18	18	19	14	17	14	21	24	21	18	19	14	12	16	12	13	11	24	21	20	12	16	14	17	23	17	16	14	13	13	12	19	18	10	14	16	7	16	19	17	10	16	11	7	15	15	10	17	22	16	16	23	14	11	19	12	11	19	17	19	11	19	14	10	22	14	15	16	14	19	22	8	30	17	16	21	16	22	18	18	14	11	17	19	14	16
17	12	17	15	15	14	19	14	10	17	5	18	18	19	14	17	15	18	24	21	18	16	14	11	13	12	15	11	24	20	20	10	16	15	18	20	18	16	15	14	13	12	19	16	10	15	18	7	11	9	20	11	11	10	9	16	18	11	17	22	17	16	24	19	11	21	18	18	13	16	19	11	21	13	10	20	14	15	16	14	19	16	18	30	16	17	20	16	20	18	17	14	12	8	18	17	17
17	12	17	15	13	16	19	14	16	16	9	18	17	19	14	13	14	15	23	21	16	18	15	12	16	10	14	11	25	20	12	20	15	14	20	24	18	15	15	14	13	12	18	17	10	14	14	8	15	20	19	10	15	11	7	15	14	10	14	21	17	17	24	20	11	19	17	17	21	16	19	10	14	14	10	20	14	16	16	13	19	22	18	29	16	17	20	16	20	18	18	14	12	17	19	15	16
14	12	18	15	12	9	21	15	17	19	6	19	13	20	12	16	14	20	23	21	14	19	16	12	16	4	15	12	25	23	21	22	11	15	17	24	18	17	12	14	12	12	10	17	10	14	19	9	15	9	19	11	15	7	8	11	16	11	18	21	16	18	24	11	12	20	17	17	21	11	20	12	20	14	10	20	15	15	16	15	19	23	19	24	11	20	20	17	17	19	19	14	11	18	19	16	17
17	12	17	15	14	6	19	14	16	18	9	19	18	20	16	20	14	20	24	21	14	19	16	12	14	12	14	12	23	21	21	21	18	15	20	24	18	17	15	14	13	12	13	17	10	14	19	9	13	20	19	10	16	11	8	15	15	13	18	21	17	13	16	19	12	19	18	16	21	15	20	11	20	14	10	19	16	18	16	16	19	23	13	25	17	17	20	17	20	19	19	15	11	16	18	16	17
17	12	18	15	14	16	19	14	16	17	9	17	11	19	14	14	14	12	24	20	18	18	15	12	11	11	16	13	24	21	20	16	16	10	18	15	18	16	15	14	11	10	10	17	10	15	9	8	15	19	10	10	15	10	7	15	16	11	17	20	17	16	24	18	11	19	16	17	20	15	19	11	21	14	10	19	14	15	16	15	19	24	16	31	16	16	12	16	17	19	17	15	11	15	18	15	16
17	7	14	15	9	18	20	14	12	18	9	15	9	14	16	16	14	15	23	16	17	13	15	12	16	4	14	12	28	21	21	21	12	15	20	24	15	12	10	15	9	10	15	18	10	14	18	9	15	16	14	11	15	11	7	11	11	4	17	19	9	14	20	19	12	15	17	13	21	15	20	10	20	14	7	20	11	16	13	15	19	22	19	28	13	16	20	16	20	15	19	13	12	18	19	17	17
15	12	20	15	10	18	19	14	16	17	9	21	16	19	17	15	14	18	25	21	18	18	14	13	15	9	12	10	28	21	20	21	19	15	18	25	18	14	15	16	14	10	19	11	10	14	17	8	15	21	18	10	15	7	9	16	15	12	18	22	19	16	23	19	12	19	12	17	22	14	19	11	21	13	8	19	14	14	16	14	13	24	10	30	16	14	20	16	20	18	16	14	12	17	17	15	16
17	12	18	15	15	16	19	14	12	14	9	18	16	20	13	15	14	15	24	18	18	16	12	12	16	13	14	12	24	20	21	21	18	15	17	24	17	15	15	14	14	12	20	15	10	15	19	8	14	17	18	11	17	11	8	15	16	11	17	21	16	19	18	20	11	20	17	14	18	16	20	8	20	14	10	19	13	16	16	15	19	10	17	29	16	17	20	17	20	17	16	14	11	17	18	15	17
18	13	18	16	13	17	19	15	16	17	9	19	19	21	17	17	13	21	24	20	19	18	16	12	16	9	13	11	24	19	21	20	17	15	10	25	19	18	14	15	14	12	22	18	10	15	19	10	16	19	18	11	15	13	7	16	17	11	18	22	16	15	23	21	12	18	18	19	20	16	20	10	21	15	10	19	13	15	15	15	19	25	17	29	16	18	20	18	20	20	17	14	12	18	14	5	17
20	12	18	15	14	15	19	16	16	17	9	21	17	20	16	15	14	17	24	23	11	19	15	9	16	9	13	12	27	20	13	20	18	15	17	24	18	17	15	14	12	12	21	10	10	14	19	8	15	20	15	10	15	11	6	15	16	10	17	17	9	16	24	19	12	20	17	17	21	16	19	10	20	9	10	20	15	16	16	12	19	23	18	29	13	16	19	17	19	19	9	14	11	16	18	18	15
17	12	18	15	13	17	17	14	16	16	9	20	17	20	12	17	13	19	25	20	17	18	15	11	15	10	14	12	26	19	19	22	20	15	6	26	17	15	15	17	13	12	20	16	10	14	18	7	15	18	19	5	14	11	8	14	15	11	17	21	11	17	20	19	11	22	17	17	21	16	19	10	20	14	10	20	13	12	15	16	19	22	20	29	16	17	20	15	20	19	19	13	12	16	18	15	16
17	13	19	16	11	20	19	14	17	16	10	18	16	16	13	15	15	21	22	19	18	18	17	12	16	12	12	13	24	22	21	21	17	16	21	23	19	14	16	16	12	13	21	15	11	14	19	8	16	16	11	11	15	13	7	16	16	10	18	22	20	15	24	20	11	17	18	11	22	15	19	8	21	14	11	20	16	15	16	16	20	13	20	30	16	18	21	18	20	18	20	14	12	14	17	16	16
17	12	19	15	14	18	19	14	16	17	10	17	17	19	15	15	14	19	24	20	16	18	14	12	16	11	14	11	24	16	19	22	16	16	17	23	18	18	10	14	13	12	19	18	10	14	14	8	14	21	16	11	15	11	6	15	16	9	17	22	18	15	23	18	11	19	18	16	20	16	19	11	19	14	11	20	14	15	16	14	19	22	20	30	16	17	20	18	15	19	20	14	12	18	18	17	15
17	12	18	16	15	21	21	15	15	17	10	21	9	19	17	17	14	15	24	23	17	20	16	12	13	11	13	12	23	19	21	17	16	12	19	25	19	16	15	14	14	13	19	16	10	14	11	10	16	15	18	11	16	9	7	15	13	12	14	22	17	17	23	20	10	19	18	17	20	16	20	11	21	14	11	20	14	17	10	6	15	16	13	30	16	18	20	16	19	18	17	14	12	17	20	18	16
18	10	18	16	16	20	20	14	16	18	10	17	11	16	12	13	15	20	24	24	18	20	16	12	17	9	15	11	26	20	21	20	16	15	13	25	18	11	16	16	14	12	21	15	6	14	12	8	16	21	19	11	16	12	9	16	17	12	14	17	16	17	23	21	10	21	18	19	19	16	20	12	19	15	12	20	16	17	16	14	20	22	9	31	15	16	19	18	19	20	19	15	12	14	20	17	15
19	12	16	15	15	7	17	14	16	18	9	20	17	19	14	15	10	18	24	21	15	18	15	12	8	11	16	12	23	18	21	21	16	16	18	23	18	16	15	15	13	12	19	14	11	14	17	8	16	19	17	11	14	11	7	15	16	11	17	15	18	13	25	19	12	19	14	17	21	15	18	11	19	9	10	19	14	15	16	13	18	22	18	31	16	16	19	16	20	18	17	14	11	17	17	16	16
