rxn00163	4.1.1.78
rxn00164	4.1.1.-
rxn00165	4.2.1.13|4.3.1.17|4.3.1.19
rxn00166	4.3.1.18
rxn00168	4.1.1.1
rxn00170	3.1.2.1
rxn00171	1.2.1.10
rxn00172	6.2.1.13
rxn00173	2.3.1.8
rxn00174	4.1.1.9
rxn00175	6.2.1.1
rxn00176	6.2.1.1
rxn00177	4.1.3.24|4.1.3.25
rxn00178	2.3.1.9
rxn00179	2.7.2.11
rxn00180	null
rxn00181	2.7.2.13
rxn00182	1.4.1.2|1.4.1.3|1.4.1.4
rxn00183	1.2.1.88|1.5.1.12
rxn00184	1.4.1.3|1.4.1.4
rxn00185	1.4.3.11
rxn00186	3.5.2.9
rxn00187	6.3.1.2
rxn00188	3.5.1.87
rxn00189	3.5.1.2|3.5.1.38|6.3.5.4|6.3.5.5
rxn00190	6.3.5.1
rxn00191	2.6.1.2
rxn00192	2.3.1.1
rxn00193	5.1.1.3
rxn00194	4.1.1.15
rxn00195	5.4.99.1
rxn00196	1.2.1.26|1.2.1.3
rxn00197	1.2.1.52
rxn00198	1.1.1.42
rxn00199	1.1.1.42|4.1.1.-
rxn00200	3.5.1.-|3.5.1.111|3.5.1.3
rxn00201	null
rxn00202	2.3.3.14|4.1.3.21
rxn00203	4.1.1.71
rxn00204	1.2.3.4
rxn00205	1.11.1.9
rxn00206	1.15.1.1
rxn00207	1.2.2.4
rxn00208	1.4.3.5
rxn00209	1.4.3.5
rxn00210	1.4.3.15|1.4.3.7
rxn00211	1.1.1.22
rxn00212	3.6.1.45|3.6.1.8|3.6.1.9
rxn00213	2.7.7.9
rxn00214	5.1.3.2
rxn00215	4.2.1.76
rxn00216	2.7.1.1|2.7.1.2
rxn00217	1.1.1.118|1.1.1.121
rxn00218	1.1.1.119
rxn00219	1.1.3.10
rxn00220	3.1.3.58|3.1.3.9
rxn00221	3.1.3.10
rxn00222	3.2.1.21|3.2.1.74
rxn00223	5.3.1.5
rxn00224	4.99.1.1
rxn00225	2.7.2.1|2.7.2.15
rxn00226	6.2.1.1
rxn00227	3.6.1.7
rxn00228	3.11.1.2
rxn00229	1.13.12.4
rxn00230	2.7.2.12
rxn00231	3.5.1.4
rxn00232	3.6.1.20
rxn00233	3.7.1.6
rxn00234	4.1.3.22
rxn00235	3.1.1.33
rxn00236	3.6.1.42|3.6.1.5|3.6.1.6
rxn00237	2.7.4.6
rxn00238	2.7.4.6
rxn00239	2.7.4.8
rxn00240	2.7.4.10
rxn00241	3.6.1.15|3.6.1.5|3.6.5.1|3.6.5.2|3.6.5.3|3.6.5.4|3.6.5.5|3.6.5.6
rxn00242	3.1.7.2
rxn00243	3.2.1.42
rxn00244	3.7.1.1
rxn00245	4.2.1.32
rxn00247	4.1.1.49
rxn00248	1.1.1.299|1.1.1.37
rxn00249	1.1.1.299|1.1.1.82
rxn00250	6.4.1.1
rxn00251	4.1.1.31
rxn00252	4.1.1.38
rxn00253	4.3.1.20
rxn00254	3.5.1.-|3.5.1.3
rxn00255	4.1.3.17
rxn00256	2.3.3.1|2.3.3.16|2.3.3.3|4.1.3.7
rxn00257	2.3.3.8
rxn00258	2.1.3.1
rxn00259	4.1.3.34
rxn00260	2.6.1.1
rxn00261	1.13.11.-
rxn00262	1.4.3.16|1.4.3.2
rxn00263	1.4.3.1|1.4.3.15
rxn00264	1.1.3.3
rxn00265	4.1.3.6
rxn00266	5.3.2.2
rxn00267	1.4.2.1
rxn00268	1.4.1.1|1.4.1.10
rxn00269	1.4.3.19|1.4.3.2|1.4.3.3
rxn00270	2.1.1.156|2.1.1.162|2.1.1.20
rxn00271	1.5.1.22
rxn00272	2.6.1.44
rxn00273	2.3.1.29
rxn00274	2.3.1.29
rxn00275	2.6.1.4|2.6.1.44
rxn00276	2.6.1.35
rxn00277	null
rxn00278	1.4.1.1
rxn00279	4.1.1.12
rxn00280	1.5.1.17
rxn00281	2.3.1.-
rxn00282	2.6.1.12
rxn00283	5.1.1.1
rxn00284	1.3.1.6
rxn00285	6.2.1.5
rxn00286	2.8.3.-|2.8.3.22
rxn00287	3.1.2.3
rxn00288	1.3.99.1
rxn00289	4.1.3.30
rxn00290	2.8.3.5
rxn00291	3.5.1.96
rxn00292	3.2.1.183|5.1.3.14
rxn00293	2.7.7.23
rxn00295	5.1.3.2|5.1.3.7
rxn00296	null
rxn00297	5.1.3.14
rxn00298	1.1.1.136
rxn00299	3.5.4.16
rxn00300	3.5.4.25
rxn00301	3.6.1.19|3.6.1.8
rxn00302	3.5.4.16
rxn00303	2.7.6.5
rxn00304	2.7.1.40
rxn00305	4.1.1.32
rxn00306	6.2.1.4
rxn00307	4.6.1.1|4.6.1.2
rxn00308	1.4.1.15
rxn00309	1.4.1.18
rxn00310	1.4.3.14
rxn00311	1.14.13.59
rxn00312	1.13.12.2
rxn00313	4.1.1.20
rxn00314	1.5.1.16
rxn00315	2.6.1.71
rxn00316	2.3.1.-
rxn00317	2.6.1.36
rxn00318	3.5.1.17
rxn00319	4.3.1.28
rxn00320	5.1.1.5|5.1.1.9
rxn00321	5.4.3.2
rxn00322	4.1.1.18
rxn00323	3.5.2.11
rxn00324	1.1.1.26|1.1.1.79
rxn00325	1.2.3.5
rxn00326	1.2.1.17
rxn00327	3.5.1.116|3.5.3.19
rxn00328	4.1.3.16|4.1.3.42
rxn00330	2.3.3.9|4.1.3.2
rxn00331	4.1.3.24
rxn00332	2.2.1.5
rxn00333	1.1.3.15
rxn00334	4.1.3.13
rxn00335	4.1.3.14
rxn00336	4.1.3.1
rxn00337	2.7.2.4
rxn00338	1.4.3.16
rxn00339	6.3.1.4
rxn00340	6.3.1.1|6.3.5.4
rxn00341	3.5.1.7
rxn00342	3.5.1.1|3.5.1.38
rxn00343	3.5.5.4
rxn00344	2.3.1.17
rxn00345	3.5.1.15
rxn00346	4.1.1.11|4.1.1.15
rxn00347	3.5.1.38|4.3.1.1
rxn00348	5.1.1.13
rxn00349	null
rxn00350	2.3.2.2|3.4.19.13
rxn00351	6.3.2.3
rxn00352	3.1.2.13
rxn00353	1.8.4.-
rxn00354	1.1.1.-
rxn00355	2.7.7.10
rxn00356	2.4.1.22
rxn00357	2.7.8.18
rxn00358	5.4.99.9
rxn00359	3.6.1.9|3.6.2.2
rxn00360	3.1.3.7
rxn00361	2.7.1.25
rxn00362	3.2.2.10
rxn00363	3.1.3.5|3.1.3.91
rxn00364	2.7.4.14|2.7.4.25
rxn00365	2.7.1.-|2.7.1.213|2.7.1.48
rxn00366	3.6.1.5|3.6.1.6
rxn00367	3.6.1.-|3.6.1.65|3.6.1.8
rxn00368	2.7.1.48
rxn00369	2.7.1.-|2.7.1.48
rxn00370	2.7.2.6
rxn00371	1.17.1.9|1.2.1.2
rxn00372	3.1.2.10
rxn00373	4.1.1.2
rxn00374	3.5.1.49
rxn00375	3.5.1.68
rxn00376	3.5.1.15|3.5.1.8
rxn00377	3.1.2.12
rxn00378	1.8.2.1
rxn00379	2.7.7.4
rxn00380	2.7.7.5
rxn00381	3.6.2.1
rxn00382	4.3.1.10
rxn00383	1.8.3.1
rxn00384	3.1.6.3
rxn00385	2.8.2.15
rxn00386	2.8.2.15
rxn00387	2.8.2.15
rxn00388	3.5.5.1|3.5.5.2|3.5.5.5|3.5.5.7
rxn00389	3.5.1.17
rxn00390	3.5.1.15
rxn00391	3.1.3.-|3.1.3.102|3.1.3.2
rxn00392	2.7.1.26
rxn00393	2.7.1.42
rxn00394	3.5.3.1
rxn00395	3.5.3.6
rxn00396	2.7.3.3
rxn00397	2.4.2.31
rxn00398	1.4.3.-|1.4.3.2
rxn00399	1.14.13.39
rxn00400	1.14.13.39
rxn00401	1.13.12.1
rxn00402	1.5.1.11
rxn00403	1.5.1.19
rxn00404	2.1.4.1
rxn00405	4.1.1.19
rxn00406	5.1.1.9
rxn00407	3.5.4.13
rxn00408	3.6.1.15|3.6.1.5
rxn00409	2.7.4.6
rxn00410	6.3.4.2
rxn00411	2.7.1.40
rxn00412	6.3.4.2
rxn00413	4.6.1.6
rxn00414	6.3.5.5
rxn00415	2.6.1.15
rxn00416	6.3.5.4
rxn00417	5.1.1.10
rxn00418	2.7.7.-
rxn00419	1.4.1.7
rxn00420	3.1.3.3
rxn00421	2.7.1.80
rxn00422	2.6.1.51
rxn00423	2.3.1.30
rxn00424	2.6.1.45
rxn00425	5.1.1.10|5.1.1.18
rxn00426	4.3.1.17
rxn00427	1.11.1.21|1.11.1.6|1.11.1.7
rxn00428	4.5.1.3
rxn00429	1.2.1.46
rxn00430	1.1.1.244
rxn00431	1.4.99.3
rxn00432	1.1.3.13
rxn00433	1.5.3.1
rxn00434	1.5.3.4
rxn00435	1.2.98.1|1.2.99.4
rxn00436	3.6.1.15
rxn00437	2.7.4.15|2.7.6.2
rxn00438	2.7.4.16
rxn00439	3.6.1.28
rxn00440	2.7.6.2
rxn00441	1.2.4.2
rxn00442	4.1.1.71
rxn00443	1.3.2.3
rxn00444	1.11.1.11
rxn00445	1.3.3.12
