Bacillaceae	Intrasporangiaceae	Microbacteriaceae	Micrococcaceae	Mycobacteriaceae	Nocardioidaceae	Paenibacillaceae	Xanthomonadaceae
4.66666666666667	8	5	17.6666666666667	3	5	10	7
7	5.33333333333333	5.66666666666667	18	3	6	10	7
7	9	3.5	17	3	8	10	6
5	6	4.33333333333333	12.3333333333333	2.16666666666667	4.83333333333333	7.33333333333333	5.16666666666667
8	8	5	18	0	5	10	7
6	7.33333333333333	5.66666666666667	15.6666666666667	2.33333333333333	4	7.66666666666667	5.66666666666667
7.25	8	5	16	3	5	7.5	6
7	8	5	16	3	5	10	3
