M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24
56	88	62	64	64	75	66	52	60	54	59	66	62	65	58	50	48	59	55	65	61	57	53	50
56	84	59	64	65	69	65	52	60	55	61	67	63	69	54	51	46	47	55	64	60	55	49	47
58	85	65	65	64	76	65	52	60	55	63	67	60	64	54	51	49	59	56	61	51	57	55	47
56	86	61	65	64	76	66	52	60	62	58	65	59	69	52	39	47	61	56	61	63	55	50	51
58	86	65	64	65	74	66	52	60	56	62	67	61	66	54	51	52	61	63	64	51	56	53	48
58	87	63	64	65	73	67	41	60	55	61	66	62	68	55	51	48	57	57	63	62	55	48	52
58	87	63	64	64	75	67	51	60	56	61	61	60	63	46	51	47	62	55	65	63	42	48	52
58	87	63	64	64	72	63	52	60	55	59	65	60	68	54	51	47	61	57	57	63	48	50	52
58	85	63	67	65	73	65	51	60	63	61	63	60	68	56	51	48	60	58	57	62	55	49	52
58	80	57	67	65	74	66	55	60	55	60	65	60	66	55	51	46	59	55	63	60	56	52	47
57	85	52	67	64	73	66	49	60	56	56	65	62	62	57	52	50	60	57	66	63	55	51	47
58	89	61	65	64	64	64	54	61	58	62	68	60	65	55	51	54	58	55	66	62	56	53	47
58	87	61	64	64	76	68	52	60	56	62	62	62	66	54	51	45	54	62	64	56	42	55	47
56	87	60	64	65	73	66	51	60	55	59	65	61	69	55	39	46	59	55	66	62	55	55	51
58	86	63	64	64	75	66	51	60	56	63	60	60	68	54	48	47	61	56	57	63	55	51	52
56	86	65	64	68	76	64	51	61	55	62	65	63	66	53	50	55	53	62	63	57	57	53	47
58	86	61	64	65	73	66	52	60	54	60	62	60	69	58	50	47	58	55	66	62	50	55	52
58	84	65	64	65	77	70	41	61	56	60	65	62	65	51	51	46	59	59	64	63	56	53	48
58	87	63	67	64	75	66	51	61	56	61	64	61	67	53	51	39	61	55	62	62	55	50	52
58	87	63	65	64	75	66	53	60	55	46	66	62	67	55	50	47	54	59	64	62	55	53	51
58	87	61	65	64	75	67	41	61	56	62	67	60	62	56	49	48	60	63	65	61	57	55	47
56	87	60	64	64	75	65	52	60	56	59	64	61	67	47	51	48	59	56	64	62	48	48	52
57	87	65	67	64	64	64	52	60	62	59	60	62	61	57	53	48	62	62	62	62	56	53	52
58	84	63	67	64	74	66	52	60	55	60	67	62	65	47	51	52	60	60	64	59	55	56	47
58	82	63	64	64	77	64	51	60	56	61	61	60	67	51	47	39	58	55	64	63	55	53	51
58	91	66	67	65	75	65	50	60	55	46	65	63	65	55	51	50	55	61	62	64	57	54	50
58	85	63	67	65	75	67	52	60	55	57	61	63	66	47	51	52	55	56	63	62	57	55	47
58	85	63	67	61	78	66	51	60	57	61	71	60	69	54	46	47	61	59	61	62	55	49	53
56	85	63	66	64	75	64	41	60	55	65	61	62	65	54	49	52	57	52	64	60	57	53	48
58	83	60	64	65	77	65	52	60	55	60	62	61	64	58	51	48	59	54	62	61	56	48	48
58	88	63	66	65	77	66	52	60	56	63	67	63	69	55	49	50	59	57	65	63	42	53	51
53	88	61	70	65	73	66	52	60	57	59	65	62	61	53	50	49	61	56	62	59	50	50	49
58	86	61	66	65	77	64	51	60	55	59	64	61	68	55	51	48	59	58	62	63	55	46	47
53	86	61	64	65	76	65	52	60	55	61	67	64	65	53	51	47	59	59	65	51	56	53	47
58	91	52	67	65	74	64	51	60	56	60	61	61	62	53	51	45	59	57	62	63	56	53	48
47	86	63	66	64	75	63	51	60	55	60	66	66	66	49	51	48	61	58	62	62	55	48	51
