M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87
64	67	72	67	69	73	77	65	65	67	70	50	70	68	67	75	71	57	57	50	67	81	76	67	95	79	63	53	64	69	60	64	77	92	57	65	69	70	49	57	62	61	62	68	62	58	53	73	60	61	93	85	61	72	76	51	67	80	82	75	60	89	58	73	50	66	71	66	57	57	63	67	57	59	72	85	48	58	61	49	65	54	73	64	66	83	61
62	67	72	61	69	71	77	65	65	67	70	50	70	68	67	75	71	57	60	48	67	81	74	69	95	79	62	53	64	68	61	64	77	92	58	66	70	70	50	62	61	61	62	68	69	68	53	73	58	60	93	85	61	72	73	51	66	76	82	73	60	89	56	73	48	72	71	66	57	57	64	74	57	59	75	80	48	57	61	47	65	60	72	65	66	84	58
65	67	73	65	69	73	79	65	64	67	70	50	71	67	69	75	68	57	57	49	67	81	75	68	95	81	62	53	63	70	60	72	77	90	56	67	68	70	49	60	62	55	60	68	69	65	53	61	58	60	88	85	65	74	70	51	67	80	82	76	59	87	61	71	48	68	71	66	56	57	64	67	58	59	75	80	48	58	60	49	65	59	73	64	66	80	57
63	67	79	66	71	71	70	65	65	67	70	50	70	68	68	75	71	60	57	48	67	81	76	69	95	79	62	51	64	69	60	66	76	90	58	65	70	70	50	56	62	59	62	68	62	66	53	73	58	60	87	85	61	72	75	51	67	73	84	73	59	87	61	71	48	66	71	66	57	56	64	67	57	57	73	80	45	58	61	52	65	59	74	64	66	85	61
62	67	80	65	59	73	77	65	65	67	70	50	71	68	67	74	71	62	57	52	67	81	76	67	96	79	64	52	64	69	60	64	77	92	58	66	69	70	50	56	62	61	62	68	62	66	57	63	59	60	93	86	65	74	76	50	71	76	84	73	59	89	59	70	48	66	71	66	57	57	64	67	57	57	71	80	46	58	61	49	65	56	73	64	66	85	57
62	70	72	56	69	72	77	65	65	67	70	50	70	67	60	74	72	58	57	48	67	81	76	68	95	79	64	53	64	68	62	71	77	92	58	67	69	70	50	62	62	61	62	68	62	65	53	73	58	60	92	85	65	70	76	51	67	76	82	75	60	87	59	73	48	66	71	66	57	57	62	79	58	57	72	85	48	58	60	52	65	60	77	64	67	83	61
64	67	73	56	72	72	78	65	71	67	70	50	71	67	67	74	69	62	60	48	67	77	75	68	96	79	62	53	64	69	61	67	77	90	58	66	69	70	50	62	62	61	62	68	63	65	53	60	59	60	93	81	65	77	76	52	64	81	84	75	60	87	61	71	50	66	71	66	57	57	64	67	57	57	73	80	47	57	60	49	64	60	73	65	66	85	57
64	71	72	70	73	72	77	65	65	67	70	50	71	68	67	75	71	54	60	50	67	81	76	69	95	79	62	54	70	69	60	64	70	97	57	66	69	70	49	62	64	63	62	68	62	65	53	73	59	60	93	85	65	72	70	51	71	80	82	70	60	87	61	70	48	66	69	66	57	57	63	67	57	58	74	80	46	57	54	49	65	60	73	64	66	85	57
64	67	75	56	69	72	77	65	65	67	70	50	71	67	67	74	71	57	57	50	67	81	75	68	95	79	62	51	64	69	61	72	77	92	58	65	72	69	49	62	62	55	62	68	69	65	55	60	62	60	87	85	61	72	76	51	64	80	82	73	59	89	59	73	48	66	71	66	57	57	63	71	57	59	73	85	48	57	61	49	65	54	74	64	66	85	57
62	67	79	67	69	71	77	64	70	67	66	50	70	64	68	74	73	57	60	50	67	81	75	67	95	79	64	52	61	69	61	72	77	92	59	65	70	68	50	55	61	61	60	68	72	65	53	73	59	60	92	85	62	72	76	51	71	80	82	73	59	89	61	74	47	66	71	66	59	57	64	71	57	56	72	80	45	58	61	49	65	60	73	65	66	85	60
64	67	73	67	69	72	78	65	65	67	70	50	70	67	68	74	69	57	60	49	67	81	75	69	96	79	62	52	64	69	60	64	77	92	58	66	70	69	50	56	64	58	62	68	61	67	53	73	59	60	90	76	61	72	70	51	67	80	82	75	60	89	59	73	50	67	71	66	57	57	64	68	57	56	73	80	46	58	51	49	62	60	74	64	71	89	61
67	71	72	67	72	63	70	65	74	67	70	64	71	67	67	74	70	58	57	48	67	81	76	69	95	79	62	51	64	68	61	70	76	90	58	68	72	69	50	62	64	55	60	68	62	65	53	75	59	60	91	85	61	72	76	51	71	80	82	73	58	89	61	66	48	72	77	66	57	56	64	67	57	57	73	80	48	58	61	49	62	60	73	64	66	85	61
62	67	73	62	69	71	77	65	65	67	70	50	71	67	67	76	71	60	60	48	67	81	74	68	95	79	62	54	66	69	60	71	77	92	52	66	69	69	50	56	64	62	61	68	62	58	53	60	59	60	93	85	65	74	70	51	65	76	82	75	60	87	59	71	48	66	71	64	57	56	64	71	58	57	73	80	46	57	60	49	64	60	72	64	66	83	61
62	67	72	61	71	73	74	65	71	65	70	50	70	68	60	74	71	58	57	49	67	77	76	68	95	79	67	51	64	69	60	66	77	92	58	67	69	69	50	62	62	61	62	68	62	65	55	73	58	60	90	85	65	74	76	51	71	80	84	73	60	89	60	73	48	66	71	66	57	56	64	69	57	57	72	85	48	63	61	49	65	60	73	64	66	83	56
64	67	72	56	69	71	78	65	74	67	70	50	70	67	63	75	71	62	61	51	61	81	76	67	95	78	62	51	64	69	60	64	76	92	57	67	69	69	50	62	62	55	62	68	69	67	53	73	58	61	93	85	61	72	76	51	67	80	84	73	62	89	59	71	48	66	71	66	56	56	64	67	57	57	72	85	48	57	60	48	64	60	73	64	66	83	57
64	67	79	56	60	73	77	65	65	67	70	50	71	67	68	68	71	57	57	48	67	77	76	69	95	79	63	53	64	68	60	64	77	92	58	66	69	70	50	56	62	61	60	68	69	67	54	72	58	60	90	83	65	72	70	51	70	80	82	75	59	89	59	73	50	66	71	64	66	56	64	67	57	56	72	80	46	58	60	49	64	60	76	64	67	83	57
64	67	72	56	70	72	78	65	65	67	70	49	70	67	60	74	71	57	57	50	67	81	76	68	95	79	62	52	64	69	60	64	76	92	58	65	69	69	49	62	62	55	62	68	62	65	55	60	58	60	93	76	65	72	76	51	69	75	82	75	60	87	61	71	48	66	71	66	57	56	64	71	57	57	74	85	46	58	61	49	64	60	77	64	64	85	56
62	67	79	65	71	71	70	65	71	67	70	50	70	68	67	75	71	58	57	50	67	81	75	69	96	79	62	54	64	69	62	64	77	90	55	66	69	69	50	62	62	63	62	68	62	65	53	71	59	60	93	85	61	72	76	61	71	80	82	75	59	87	59	71	48	68	71	66	57	56	64	71	57	57	73	85	48	57	60	49	65	54	76	61	66	85	57
64	67	80	56	73	71	77	65	65	62	70	50	71	67	59	74	71	58	57	48	67	81	76	69	95	78	62	52	64	69	60	71	76	90	58	65	69	69	50	56	62	63	62	68	69	65	53	72	58	60	92	85	61	72	70	51	67	80	82	73	58	90	59	70	48	66	71	64	57	57	64	69	57	56	74	80	48	58	62	53	67	54	76	64	64	85	61
64	67	73	62	69	71	70	65	64	67	70	50	70	67	67	75	71	62	57	48	67	81	76	68	95	79	62	51	64	69	60	64	77	97	58	65	69	69	50	60	62	55	62	68	62	65	53	73	58	60	93	88	61	72	76	51	71	80	82	73	59	87	59	64	48	66	71	64	57	56	63	67	57	57	73	85	46	58	61	49	66	54	73	64	64	85	55
63	67	79	67	69	71	70	65	65	67	70	50	68	68	67	74	71	62	60	48	67	81	75	68	95	79	62	51	64	68	60	66	77	90	58	65	72	70	49	62	62	61	60	68	62	68	55	73	58	60	93	85	61	74	76	50	65	72	84	75	60	87	59	73	50	66	71	66	57	57	63	67	57	58	73	80	46	58	60	48	64	60	72	64	66	85	57
61	67	79	62	72	71	77	65	71	67	70	50	70	68	67	75	71	57	61	48	61	78	76	69	95	78	62	53	64	69	60	69	77	92	58	65	72	69	49	56	62	63	61	68	62	65	53	73	58	60	87	85	61	72	76	48	65	80	82	73	62	89	59	71	50	64	71	66	57	57	64	69	57	59	74	80	43	58	60	49	64	54	76	64	71	85	59
64	67	72	62	74	72	77	65	65	67	70	50	70	67	67	74	71	58	57	50	67	77	76	68	95	79	62	51	64	69	61	64	76	92	58	66	70	69	50	62	62	63	62	68	69	64	53	58	59	60	87	85	65	74	70	51	71	80	84	76	59	87	59	71	48	72	71	66	57	56	59	69	57	59	71	80	46	58	61	49	65	60	73	64	66	85	57
64	67	79	67	58	73	70	65	65	67	70	50	70	67	69	75	72	58	60	51	67	77	76	67	95	78	64	53	63	69	60	64	70	90	56	66	69	69	56	62	62	55	62	70	69	65	53	59	58	60	93	85	65	72	78	51	68	80	82	72	59	87	61	71	54	72	71	66	57	57	64	65	57	57	72	80	48	58	61	48	64	60	76	64	66	83	57
64	67	72	56	69	71	77	65	71	63	70	50	71	67	67	73	71	57	60	50	67	81	76	69	95	79	62	51	64	69	61	68	77	92	58	67	72	69	50	62	64	63	62	68	69	64	53	72	58	60	93	85	61	74	71	52	71	81	82	75	60	89	60	66	50	67	71	66	57	57	64	71	58	59	73	80	48	58	60	49	65	60	77	64	66	83	57
62	67	73	62	69	73	78	65	65	67	70	50	71	67	67	75	71	58	60	48	67	81	76	68	95	79	62	52	64	69	61	64	76	90	58	66	69	69	50	55	62	55	62	68	69	65	53	73	59	60	93	85	61	72	73	50	71	80	82	73	59	89	56	73	48	72	71	64	57	56	63	71	57	57	72	84	48	57	60	48	65	60	75	64	66	85	57
64	67	79	57	73	70	66	65	65	67	70	50	70	67	67	74	71	58	57	48	67	77	76	67	95	79	62	51	64	69	61	64	77	92	57	67	69	69	49	62	62	59	61	68	69	67	55	73	59	66	90	85	61	72	75	51	65	76	84	75	59	89	60	66	48	68	71	66	57	56	64	71	57	57	73	80	46	57	61	49	65	60	76	64	66	85	57
62	67	72	61	73	72	77	65	70	67	70	50	70	68	67	87	71	58	60	50	67	77	76	67	95	79	63	53	64	69	61	64	74	92	58	67	69	69	49	62	62	62	62	68	62	74	53	75	59	60	92	85	65	74	76	51	71	80	82	77	60	89	59	68	48	66	71	66	66	57	64	71	57	59	75	80	48	58	61	49	65	60	72	64	66	83	60
62	67	72	56	69	72	77	65	65	67	70	50	71	67	67	74	71	58	60	48	67	81	75	67	95	79	62	54	64	69	61	64	76	92	58	67	70	70	50	62	62	63	60	68	62	64	53	73	58	60	93	85	61	72	76	51	67	75	82	75	60	89	59	73	48	66	77	64	57	57	63	69	57	57	72	80	46	58	60	49	64	60	76	64	64	85	57
62	67	72	56	69	71	77	65	71	67	58	50	71	67	63	74	71	58	60	50	67	81	75	69	96	79	62	51	64	68	60	64	77	97	58	66	69	69	50	61	62	61	62	68	62	70	55	73	59	60	93	85	65	72	76	51	67	76	83	75	60	89	59	73	50	66	71	66	57	57	64	71	57	58	73	80	48	57	61	49	64	60	74	64	61	83	57
62	67	79	56	77	71	77	65	65	67	70	64	70	67	68	74	71	57	57	48	67	81	76	67	95	79	73	54	64	73	62	64	77	92	58	67	69	70	49	62	62	61	62	68	62	67	53	73	58	61	93	85	61	74	71	52	71	80	82	75	59	87	61	71	48	66	71	66	57	56	63	71	57	58	73	80	48	58	60	47	64	60	75	64	66	85	60
64	67	73	56	73	72	77	65	65	60	70	50	70	67	63	74	70	58	57	50	67	81	76	68	96	79	62	54	64	69	60	64	77	92	56	65	69	69	50	62	62	61	61	69	69	67	53	73	58	60	93	88	61	72	76	51	67	76	82	75	60	89	59	70	48	66	71	66	57	57	64	71	57	56	73	80	48	58	61	49	64	60	76	64	60	85	57
62	67	73	56	73	70	77	65	65	67	70	50	72	67	68	74	70	60	61	48	67	81	75	68	95	78	62	51	64	69	60	64	74	92	56	66	69	69	50	56	62	63	62	68	62	67	53	73	59	60	87	85	61	72	70	51	66	80	82	75	59	87	59	66	48	73	77	66	57	57	64	69	57	57	75	80	48	58	60	49	66	60	75	58	66	85	57
64	67	79	67	70	72	77	65	65	67	70	50	70	67	65	74	71	57	60	48	67	81	76	68	95	78	62	49	66	69	60	65	77	90	58	67	69	69	50	55	64	55	62	68	69	65	53	73	58	60	93	85	61	72	76	51	67	80	82	75	59	89	61	71	50	66	71	64	56	56	62	67	57	57	72	80	48	57	61	49	65	57	71	65	64	83	60
65	67	72	67	69	63	77	65	65	67	70	64	69	68	69	75	71	63	57	51	67	81	75	68	96	79	62	51	64	68	60	69	77	90	58	67	69	69	49	62	62	61	60	68	62	65	53	73	58	60	91	88	61	70	76	53	71	80	82	76	60	87	61	71	48	68	71	64	57	56	64	71	57	57	73	80	48	57	61	49	64	54	73	65	66	83	58
65	66	79	56	71	72	78	65	71	67	70	50	70	67	60	74	71	62	57	51	67	77	76	69	95	79	63	53	62	69	60	68	77	91	58	61	72	68	49	62	62	63	62	68	72	66	53	60	58	60	88	85	65	70	76	51	65	80	82	75	60	89	61	71	48	66	77	64	57	57	63	69	58	59	72	85	46	58	61	49	65	55	73	64	66	84	57
62	67	73	56	74	71	77	65	65	64	70	50	70	67	59	75	71	57	60	50	67	81	76	68	95	79	62	53	64	69	61	71	77	92	58	67	69	69	50	62	62	63	62	68	62	64	53	73	59	60	92	85	61	72	76	51	71	80	82	75	60	89	61	64	50	66	71	66	57	57	63	67	57	58	74	80	46	58	61	49	65	60	73	64	66	85	59
62	67	79	67	71	71	70	65	71	67	70	50	70	68	67	74	71	57	60	48	67	77	75	68	95	79	64	54	64	69	60	69	71	92	58	67	69	69	50	62	62	61	62	68	69	65	53	72	58	60	93	85	67	72	76	51	71	80	84	76	62	87	59	73	48	66	71	66	57	57	64	71	58	58	74	85	45	58	61	49	65	60	73	64	66	89	57
62	67	72	60	69	71	78	65	65	67	70	50	71	68	68	75	72	58	57	50	67	77	76	68	95	79	63	54	64	69	61	64	77	92	58	66	69	69	50	62	62	55	62	68	62	68	53	73	58	60	91	85	61	72	76	51	67	80	82	72	60	89	63	71	48	66	71	66	57	57	63	71	57	57	74	80	48	58	61	49	66	60	74	64	66	85	57
64	67	72	56	77	71	77	65	65	67	70	50	70	68	63	74	71	57	60	49	67	81	76	67	95	79	67	53	64	69	60	68	77	92	58	67	70	70	50	56	62	61	60	68	62	67	53	60	59	60	91	81	61	72	76	51	71	80	82	75	59	87	56	71	48	64	71	66	56	57	64	67	58	57	71	81	47	57	60	52	64	54	72	64	67	85	61
62	67	79	70	73	71	77	65	65	67	70	50	79	67	69	74	71	57	60	51	67	81	76	69	95	79	62	51	64	69	60	64	77	92	58	65	69	70	55	56	62	61	62	68	69	67	55	60	58	60	93	85	64	72	76	51	66	80	82	75	62	89	59	71	48	72	71	66	56	57	64	69	57	59	75	80	46	58	60	49	64	54	76	64	64	85	57
64	67	72	56	74	71	77	65	71	60	70	50	71	67	67	74	71	58	57	50	67	77	76	68	95	79	62	53	64	68	61	66	76	92	60	67	69	70	50	62	64	61	62	68	62	65	53	64	59	60	93	85	61	72	76	50	66	76	82	71	60	91	61	71	48	72	71	64	57	57	64	67	57	56	74	80	48	63	60	52	65	60	76	64	62	85	61
