M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97	M_98	M_99	M_100	M_101	M_102	M_103	M_104	M_105
142.026425305951	144.440368656433	140.346147259047	169.85116626851	144.964981191087	110.741827492325	160.175531200937	74.8024184709494	124.984336536738	91.8610362918015	199.003350938987	137.375851744093	120.119629718219	101.146447406136	113.107724793218	96.5019679931804	190.029794377885	117.783912712733	76.7721433061049	189.403974358821	127.034875462199	116.567596877878	85.7694784580833	111.623520797968	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	85.5856094553792	142.036409390127	101.307771129176	107.793839265894	102.845784190316	136.539610403717	163.615585975297	91.1687638413913	130.523210894283	104.24753219427	85.8328824855662	164.037083059174	130.597193061137	222.955263284811	119.778532516456	108.817162450335	107.686635172562	101.071115565363	112.078223481882	58.9540774376986	157.350882272617	128.541369081046	213.916513734683	186.994987697642	189.445522322457	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	195.045029196173	167.836137705347	89.4260330617627	119.81069900141	61.3727059836352	132.154941480517	168.853536554185	99.378911073419	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.02936620532	200.924696521148	99.5105540020413	159.173038997563	129.389410517534	177.323620614466	110.991780417897	137.784302676141	106.529236585867	104.705522647829	128.491448235424	88.9026816075403	53.9138315625303	112.956428890692	149.833636345749	127.706617321019	153.852834858347	151.448880558146	215.176628774607	207.53427248653	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.15349294974	133.268204103155	212.523427258667	89.3619686525444	87.9991744264708	263.187220717858	234.360831098047
142.026089655176	144.406284333594	140.346147259047	169.85116626851	159.65904547041	110.741827492325	160.174795027955	74.8024184709494	124.984336536738	91.8610362918015	181.392035867042	129.067851194009	120.119629718219	101.146447406136	113.107724793218	96.5019679931804	190.029794377885	117.783912712733	76.6020037718238	189.403974358821	127.034875462199	116.567596877878	85.7694784580833	111.623520797968	105.455212548042	124.968205764146	102.873762551723	127.028905019031	87.560544117589	77.1449944704849	142.036409390127	100.962446770015	107.793839265894	102.844556214947	130.831621108065	163.615585975297	91.3735291154624	130.523320895152	104.24753219427	85.8328824855662	164.037083059174	130.597193061137	222.955263284811	118.807633959287	108.816869205456	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	157.350882272617	128.541369081046	213.916513734683	186.994987697642	189.445522322456	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	195.045029196174	167.836137705347	89.4259373578829	116.295665849249	61.3727059836353	132.154941480517	168.853536554185	99.378911073419	110.670818103063	178.303782329944	155.448350314467	162.048169732945	104.030959670068	200.924696521148	99.5111069834457	159.173038997563	129.389410517534	177.323494941011	110.991780417897	137.784302676141	103.24540967078	103.825656873521	128.491448235424	85.5057652806477	53.9138315625303	112.956428890691	149.833636345749	127.706617321019	153.852593562405	151.448880558146	215.176628774607	214.085099589253	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.153272233306	133.268204103156	212.523427258667	89.3619686525444	87.9991744264705	254.428037228567	234.360831098049
142.026425305951	144.440368656433	154.836914816123	169.85116626851	147.0986116252	110.741827492325	160.175531200937	75.2337939716493	124.984336536738	91.8610362918015	181.392035867042	129.067851194009	120.119629718219	101.146447406136	129.174809916181	96.8116095267442	190.029794377885	117.783912712733	76.4806460836537	189.403974358821	127.034875462199	116.567596877878	85.7694784580833	111.623520797968	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	77.1449944704849	142.036409390127	101.329563913315	104.778626978736	108.650614368375	136.539610403717	163.615585975297	91.3735291154624	130.523320895152	104.24753219427	85.8277283698985	164.037083059174	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	157.350882272617	128.541369081046	213.916513734684	186.994987697642	189.445522322456	113.293985624378	141.852187578932	148.734301820281	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	195.045029196174	167.836137705346	89.4060046682686	119.81069900141	61.3727059836352	132.154941480517	168.834823586979	99.378911073419	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.02936620532	200.924696521148	99.5111069834457	159.173038997563	129.389410517534	177.323620614466	110.991780417897	137.784302676141	100.747950554387	104.272040987855	128.491448235424	88.9026816075404	53.9138315625303	112.956428890692	149.833636345749	127.706617321019	153.852834858347	151.448880558146	215.176628774607	207.508824296548	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.153272233306	133.268204103155	212.523427258667	89.3628669076293	87.9991744264705	254.428037228569	234.360831098047
142.026089655177	144.440368656433	140.346147259047	169.85116626851	144.964981191086	110.741827492325	160.175278945097	74.8024184709494	124.984336536738	91.8610362918015	181.392035867042	129.067851194009	120.119629718219	101.146447406136	113.107724793218	113.10074866746	190.029794377885	117.783912712733	76.6020037718238	189.403974358821	127.034875462199	116.567596877878	85.7694784580833	111.622924967986	105.455212548042	124.968205764146	102.895803538961	126.283683678327	87.560544117589	77.1449944704849	142.036409390127	101.329563913315	108.07820299717	102.845784190316	136.539610403717	163.615585975297	93.5107460658586	130.523320895152	104.24753219427	85.8328824855663	164.037083059174	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.083621567063	112.078223481882	58.9405958815631	157.350882272617	128.541369081046	213.916513734683	186.994987697642	189.445522322456	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	192.035899485281	167.836137705347	89.4099988491855	116.033909230689	61.3727059836352	132.154941480517	168.853536554185	99.378911073419	110.670818103063	179.844559766959	143.474006903237	162.048169732945	104.02936620532	200.924696521149	99.5102740138004	159.173038997563	129.389410517534	177.323620614466	110.991780417897	137.784302676141	110.588222515209	104.272040987855	128.491448235424	85.3107117619385	53.9138315625303	112.956428890692	149.833636345749	127.706617321019	153.852834858347	151.448880558146	215.176247977667	207.508824296548	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.15349294974	133.268204103156	212.523427258667	89.3619686525444	87.9991744264705	270.70214569	234.360831098047
142.026425305951	144.440368656433	140.346147259047	169.85116626851	147.0986116252	110.793391015007	160.175278945097	74.8024184709494	124.984336536738	91.8610362918015	181.392035867041	129.067851194009	120.119629718219	101.146447406136	113.107724793218	96.8116095267442	190.029794377885	117.783912712733	76.7721433061049	189.403974358821	127.034875462199	116.567596877878	85.7694784580838	111.623520797968	105.455212548043	124.968205764146	102.895803538961	126.283683678327	87.560544117589	85.5856094553792	142.036409390127	101.329563913315	107.510967982318	102.844556214947	130.831621108065	163.615585975297	93.5107460658586	130.523320895152	104.24753219427	85.8328824855662	164.054860925839	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	157.350882272617	129.287392624078	213.916513734683	186.994987697642	189.445522322456	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	192.035899485281	167.836137705347	89.4260330617627	116.033909230689	61.3727059836352	132.154941480517	168.853536554185	99.378911073419	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.02936620532	200.924696521148	99.5111069834457	179.407276151753	129.389410517534	177.323494941011	110.991780417897	137.784302676141	101.826338287633	104.272040987855	128.491448235424	85.5057652806477	53.9138315625303	112.956428890692	149.833636345749	141.903465006997	153.852834858347	151.448880558146	215.176628774607	207.508824296548	86.2498717083432	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.15349294974	133.268204103156	212.523427258667	89.3628669076293	87.9991744264708	254.428037228567	234.360831098047
142.026425305951	144.440368656433	140.346147259047	169.85116626851	146.242901856897	110.741827492325	160.15664117605	74.8024184709494	124.984336536738	91.8610362918015	181.392035867042	129.067851194009	120.119629718219	101.146447406136	113.107724793218	96.8116095267442	190.029794377885	117.783912712733	76.7721433061049	189.42501258398	127.034875462199	116.567596877878	95.1871022222118	111.623520797968	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	77.1449944704849	142.036409390127	101.329563913315	104.778626978736	102.844556214947	136.539610403717	163.615585975297	94.0429526685537	130.523210894283	104.222985082032	101.569123207989	181.725528978067	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	156.591999688655	128.356052766792	213.916513734683	186.994987697642	189.445522322455	113.293985624378	141.852187578932	149.64437310145	134.083740393751	117.203804753594	158.022310142691	96.8880609569841	191.136511397761	167.836137705346	89.4260330617627	116.042437524448	61.3727059836353	131.610463454112	168.853536554185	99.3789110734189	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.030959670068	200.924696521148	99.5105540020413	159.173038997563	129.389410517534	177.04904912786	110.991780417897	137.784587887537	106.529236585867	104.705522647828	128.491448235424	85.5057652806477	53.9138315625303	112.955611075654	149.83363634575	127.706617321019	153.852834858347	151.448880558146	215.176628774607	207.53427248653	86.2498717083432	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.152775375561	133.268204103156	212.574974199423	89.3619686525444	87.9991744264708	254.428037228567	234.360831098047
142.026425305951	144.440368656433	140.346147259047	169.85116626851	147.197992195942	110.741827492325	160.175531200936	74.8024184709494	124.984336536738	91.8610362918015	181.392035867042	129.067851194009	120.119629718219	101.146447406136	113.107724793218	96.8509435020278	190.029794377885	117.783912712733	76.6020037718238	189.60256676982	127.034875462199	116.567596877878	85.7694784580833	111.623520797968	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	85.5856094553792	142.036409390127	101.329563913315	107.793839265894	102.845784190316	136.539610403717	163.615585975297	93.7265849460801	130.523320895152	104.24753219427	85.8328824855662	164.037083059174	130.597193061137	240.472169452106	118.807633959287	108.817109928748	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	157.350882272617	128.541369081046	213.916513734683	186.994987697642	189.445522322456	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9361443684296	192.035899485281	167.836137705347	89.4259915763726	119.81069900141	61.3727059836352	148.46313731124	168.853536554185	99.3789110734189	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.030959670068	200.924696521148	99.5105540020412	159.173038997563	129.389410517534	177.323494941011	111.221913804745	137.784302676141	100.747950554387	104.705522647828	128.491448235424	88.9026816075404	53.9162207872521	112.956428890692	149.83363634575	127.706617321019	153.852834858348	151.448880558146	215.176628774607	207.508824296548	86.2498717083432	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.153272233306	133.268204103155	249.203118027243	89.3628669076293	87.9991744264708	254.428037228567	234.360831098049
142.026089655176	144.440368656433	140.346147259047	169.85116626851	151.64405391958	110.741827492325	160.175278945097	74.8024184709494	124.984336536738	91.8610362918015	181.392035867041	129.067851194009	120.119629718219	101.146447406136	113.107724793218	96.5019679931804	190.029794377885	117.783912712733	76.6020037718238	189.403974358821	127.034875462199	116.567596877878	85.7694784580833	111.623733111306	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	78.6499606593826	142.036409390127	118.523119774691	107.793839265894	102.844556214947	136.539610403717	163.615585975297	93.5107460658588	130.523320895152	103.929833796407	85.8328824855665	164.037083059174	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	157.350882272617	128.541369081046	213.916513734683	186.994987697642	189.445522322456	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	192.035899485281	167.836137705347	89.4260330617627	119.807921921432	61.3727059836352	132.154941480517	168.834823586979	99.378911073419	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.02936620532	200.924696521148	99.5111069834457	159.173038997563	129.389410517534	177.323620614466	110.938412892049	137.784302676141	101.906092980612	104.272040987855	128.491448235424	88.9026816075403	53.9138315625303	112.956428890691	143.695666619527	127.706617321019	153.852593562403	151.448880558146	215.176628774607	207.508824296548	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.149393488749	138.934704295764	212.523427258667	89.3628669076293	87.9991744264705	254.428037228567	234.360831098047
142.026425305951	144.440368656433	140.346147259047	169.85116626851	147.0986116252	110.741827492325	160.175278945097	74.8024184709494	124.984336536738	91.8610362918015	181.392035867041	129.067851194009	120.119629718219	101.146447406136	137.32094747548	96.8116095267442	190.029794377885	117.783912712733	76.6020037718238	189.403974358821	127.034875462199	116.567596877878	86.0557397358075	111.623520797968	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	77.1449944704849	142.036409390127	101.329563913315	107.793839265894	102.845784190316	136.539610403717	163.615585975297	91.1687638413916	130.523320895152	104.24753219427	85.8328824855662	164.037083059174	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.083621567063	112.078223481882	58.9540774376986	157.350882272617	129.27677359579	213.916513734683	186.994987697642	189.445522322457	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	175.065130196574	96.9279424267972	195.043966064642	167.836137705347	89.4260330617627	116.029322609937	61.3727059836352	132.154941480517	180.404206621418	99.378911073419	110.670818103063	179.844559766959	132.307753489992	162.048169732945	104.030959670068	200.924696521148	99.5111069834457	159.173038997563	129.389410517534	177.323620614466	110.991780417897	137.784302676141	107.768617037013	104.705522647828	128.491448235424	85.5057652806477	53.9138315625302	112.956428890692	149.833636345749	127.706617321019	153.852834858347	151.448880558146	215.176628774607	207.508824296548	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.15349294974	133.268204103155	212.523427258667	89.3628669076304	87.9991744264708	254.428037228569	234.360831098047
142.026425305951	144.440368656433	140.346147259047	169.85116626851	147.0986116252	110.741827492325	160.175531200937	74.8024184709494	124.984336536738	91.8610362918015	181.392035867041	129.067851194009	120.119629718219	101.146447406136	136.946799427796	96.5019679931804	190.029794377885	117.783912712733	76.6020037718238	189.403974358821	127.043452535903	116.567596877878	85.7694784580836	111.623520797968	105.455212548042	124.968205764146	102.895803538961	127.028905019031	87.560544117589	77.1449944704849	142.036409390127	101.329563913315	107.793839265894	102.845784190316	136.539610403717	163.615585975297	93.5107460658586	130.523320895152	104.24753219427	85.8328824855663	164.037083059174	130.597193061137	222.955263284811	118.807633959287	108.817162450335	107.686635172562	101.071115565363	112.078223481882	58.9540774376986	157.350882272617	128.541369081046	213.916513734683	186.994987697642	189.445522322456	113.293985624378	141.852187578932	131.482588185978	134.083740393751	117.203804753594	157.8061708594	96.9279424267972	195.045029196174	167.836137705347	89.4260330617627	119.81069900141	61.3727059836352	132.154941480517	168.853536554185	99.378911073419	110.670818103063	179.844559766959	132.307753489992	162.02813511216	104.030959670068	200.924696521148	110.86482758707	159.173038997563	129.389410517534	177.323494941011	110.991780417897	137.784302676141	104.819316499962	104.272040987855	128.491448235424	88.9026816075404	53.9138315625302	112.956428890692	149.833636345749	127.706617321019	153.852834858347	151.448880558146	215.176247977667	207.53427248653	86.2497430814544	137.654249268357	171.533772359316	133.888655690387	83.5081747102186	114.15349294974	133.268204103156	212.523427258667	89.3628669076293	87.9991744264705	254.428037228567	234.360831098047
