Row	abundance	exported
Soil522	143	61
Soil531	1199	77
Soil535	11	68
Soil538	79	79
Soil724D2	13	74
Soil736	45	68
Soil745	747	64
Soil748	16	70
Soil750	4	60
Soil761	10	67
Soil762	1	66
Soil763	2	60
Soil764	16	70
Soil768D1	487	67
Soil772	40	49
Soil773	4	54
Soil774	649	62
Soil777	41	65
Soil782	3	68
Soil787	30	63
Soil796	69	62
Soil802	194	65
Soil809	86	54
Soil810	824	66
