CarveMe_mets	KBase_mets	AuReMe_mets	RAVEN_mets	consensus_mets	sums_mets
1340	1129	875	2543	3793	5887
1196	991	1126	2606	3868	5919
1437	1194	937	3018	4398	6586
1448	1123	895	2672	4045	6138
1470	1150	497	2694	4004	5811
1112	932	816	2031	3163	4891
1491	1132	732	2682	3998	6037
1488	1137	649	2632	3976	5906
1288	1103	523	2509	3681	5423
1441	1102	623	2586	3906	5752
1490	1208	676	3040	4299	6414
1345	1165	572	2512	3705	5594
1394	1019	630	2402	3755	5445
1757	1213	724	2985	4482	6679
1689	1193	894	2906	4383	6682
1661	1223	626	2910	4312	6420
1438	1200	1070	2915	4252	6623
1550	1147	856	2922	4301	6475
1282	1014	601	2393	3582	5290
1274	1017	722	2376	3620	5389
1417	1019	921	2446	3885	5803
1343	1138	806	2690	3958	5977
1346	1082	772	2612	3870	5812
1326	1098	1202	3085	4391	6711
1213	1010	672	2403	3485	5298
1313	1177	982	2887	4144	6359
1412	1251	611	2869	4117	6143
1440	1140	655	2838	4090	6073
1462	1148	866	2800	4195	6276
1160	979	1182	2185	3653	5506
1323	965	598	2427	3557	5313
1465	1140	814	2899	4185	6318
1448	1133	626	2854	4109	6061
1499	1129	605	2661	4003	5894
1343	1121	780	2701	3983	5945
1326	1113	355	2599	3710	5393
1357	1121	813	2612	3916	5903
1331	1127	918	2656	3966	6032
1401	1005	788	2431	3798	5625
1309	1110	726	2675	3938	5820
1483	1121	471	2680	3935	5755
1476	1108	649	2712	4023	5945
1486	1129	547	2655	3914	5817
1497	1129	601	2642	3955	5869
1447	1094	1227	2557	4128	6325
