CarveMe_genes	KBase_genes	AuReMe_genes	RAVEN_genes	consensus_genes	sums_genes
1414	1286	106	2086	2338	4892
1149	1034	113	1651	1883	3947
964	923	173	1399	1668	3459
1364	1297	196	2013	2315	4870
1526	1277	189	2199	2395	5191
985	906	444	1496	1828	3831
1037	1047	295	1700	2004	4079
1392	1284	242	2041	2336	4959
1517	1491	146	2340	2652	5494
848	713	195	1175	1313	2931
920	865	543	1277	1653	3605
1010	964	200	1462	1737	3636
942	876	325	1166	1453	3309
1331	1286	233	2181	2341	5031
1040	909	211	1244	1599	3404
1426	1167	155	2029	2179	4777
810	736	285	1081	1346	2912
844	719	313	1201	1360	3077
987	864	181	1162	1448	3194
977	939	465	1304	1553	3685
928	842	629	1193	1516	3592
831	739	271	1100	1359	2941
1512	1480	219	2310	2641	5521
846	713	269	1176	1332	3004
855	724	238	1214	1360	3031
