CarveMe_rxns	KBase_rxns	AuReMe_rxns	RAVEN_rxns	consensus_rxns	sums_rxns
1648	971	422	1954	3720	4995
1815	976	613	1982	4076	5386
1800	1127	497	2286	4218	5710
1803	1049	454	2182	4100	5488
1719	1068	814	2593	4574	6194
1628	932	362	2009	3700	4931
1728	1143	651	2407	4305	5929
1883	1313	340	2556	4554	6092
1928	1127	378	2380	4376	5813
1974	1129	535	2319	4463	5957
1451	916	764	1766	3674	4897
1747	907	358	1989	3750	5001
1990	1168	490	2477	4559	6125
1938	1121	359	2385	4383	5803
1978	1074	348	2254	4296	5654
1806	1109	496	2276	4275	5687
1771	1059	178	2166	3969	5174
1836	1084	516	2229	4254	5665
1816	1089	576	2273	4306	5754
1786	984	483	1964	3986	5217
1787	1106	436	2252	4229	5581
1974	1110	253	2262	4301	5599
1973	1102	358	2286	4367	5719
1937	1074	291	2235	4216	5537
1981	1117	358	2264	4341	5720
1908	1065	855	2146	4404	5974
