CarveMe_mets	KBase_mets	AuReMe_mets	RAVEN_mets	consensus_mets	sums_mets
1214	1067	794	2989	4082	6064
1332	1134	874	2826	4054	6166
1222	1028	571	2486	3509	5307
1312	1089	923	3318	4544	6642
1222	1105	913	2653	3794	5893
1065	915	1386	2514	3806	5880
1202	1234	1068	3226	4345	6730
1088	1056	1243	3022	4260	6409
1237	986	1280	2428	3753	5931
1277	1052	680	2666	3788	5675
1335	1186	418	2965	3974	5904
1247	1130	493	2793	3843	5663
1241	1037	797	2915	4011	5990
1319	1185	637	2956	4062	6097
1202	1234	633	3226	4214	6295
1275	953	1372	2886	4208	6486
1274	992	1086	3131	4321	6483
1333	1184	779	3077	4218	6373
1367	1199	514	3215	4245	6295
1204	1021	663	2468	3512	5356
1233	992	1420	2808	4133	6453
1076	1040	743	2927	3923	5786
1176	1053	1113	2392	3724	5734
1349	1176	840	3119	4286	6484
1269	1076	694	2660	3842	5699
1279	1211	755	3017	4165	6262
1206	960	853	2344	3487	5363
1230	1017	976	2468	3664	5691
1182	1020	712	2431	3573	5345
1025	1165	1505	2497	3888	6192
1063	1010	1498	2484	3859	6055
1240	896	938	2373	3553	5447
1364	1199	742	3209	4336	6514
1206	1021	844	2468	3596	5539
1229	1017	847	2519	3681	5612
